request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_3.txt,4050,44809313746125,44809313833708,44809313948708,0.202583,0.087583
GET,small_1.txt,810,44809314236875,44809314408708,44809314518250,0.281375,0.171833
GET,small_2.txt,1620,44809314391333,44809314453916,44809314554250,0.162917,0.062583
GET,large_2.txt,162000,44809313820750,44809314241958,44809316327625,2.50687,0.421208
PUT,small_1.txt,810,44809314448833,44809318662875,44809318704541,4.25571,4.21404
GET,.DS_Store,6149,44809318676583,44809318838541,44809318969083,0.2925,0.161958
PUT,small.txt,42,44809318796083,44809319212291,44809319236458,0.440375,0.416208
PUT,xlarge_1.txt,810000,44809322487333,44809705796541,44809706012833,383.526,383.309
GET,large_1.txt,81000,44809705773625,44809705891208,44809706400666,0.627041,0.117583
GET,large_1.txt,81000,44809705879583,44809706141291,44809706511541,0.631958,0.261708
PUT,small.txt,42,44809706518166,44809706591791,44809706650125,0.131959,0.073625
GET,medium_2.txt,16200,44809706114833,44809706191875,44809706650416,0.535583,0.077042
GET,large_1.txt,81000,44809706151250,44809706519958,44809707555916,1.40467,0.368708
PUT,large_2.txt,162000,44809706583958,44809833781333,44809833809833,127.226,127.197
GET,.DS_Store,6149,44809833760291,44809833797541,44809833862875,0.102584,0.03725
PUT,medium_2.txt,16200,44809833771666,44809841244625,44809841252458,7.48079,7.47296
PUT,large_2.txt,162000,44809841221000,44809906418291,44809906442125,65.2211,65.1973
PUT,medium_2.txt,16200,44809906399541,44809913047791,44809913277708,6.87817,6.64825
GET,small_3.txt,4050,44809913024583,44809913050708,44809913317625,0.293042,0.026125
GET,.DS_Store,6149,44809913597125,44809913619666,44809913800708,0.203583,0.022541
PUT,small_3.txt,4050,44809913609500,44809917643166,44809917668375,4.05887,4.03367
GET,large_2.txt,162000,44809918245875,44809918577333,44809919507750,1.26188,0.331458
GET,medium_1.txt,8100,44809919344333,44809919434166,44809919659458,0.315125,0.089833
GET,xlarge_1.txt,810000,44809913036875,44809913618916,44809945412208,32.3753,0.582041
PUT,medium_2.txt,16200,44809926303666,44809951639541,44809951668500,25.3648,25.3359
GET,xlarge_1.txt,810000,44809917634833,44809918251000,44809952688250,35.0534,0.616167
PUT,medium_1.txt,8100,44809951623083,44809964486166,44809964552625,12.9295,12.8631
GET,.DS_Store,6149,44809964473041,44809964519916,44809968552166,4.07913,0.046875
PUT,large_3.txt,405000,44809964490541,44810263417375,44810263494083,299.004,298.927
