request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_1.txt,810,44822260143750,44822260440083,44822260559166,0.415416,0.296333
GET,.DS_Store,6149,44822260029250,44822260622125,44822260667166,0.637916,0.592875
PUT,small_3.txt,4050,44822260194375,44822270130583,44822270178583,9.98421,9.93621
GET,medium_2.txt,16200,44822270180583,44822270257625,44822270436750,0.256167,0.077042
GET,medium_1.txt,8100,44822270262666,44822270467208,44822270624500,0.361834,0.204542
PUT,medium_3.txt,40500,44822270318041,44822318044708,44822318060875,47.7428,47.7267
PUT,large_1.txt,81000,44822318045791,44822357026583,44822357046875,39.0011,38.9808
PUT,large_2.txt,162000,44822357005958,44822422011750,44822422032208,65.0263,65.0058
PUT,.DS_Store,6149,44822421988416,44822424477375,44822424484416,2.496,2.48896
PUT,large_1.txt,81000,44822424450958,44822457009750,44822457024875,32.5739,32.5588
GET,medium_3.txt,40500,44822456983333,44822457038250,44822457170875,0.187542,0.054917
GET,small_2.txt,1620,44822788945083,44822788970875,44822789258875,0.313792,0.025792
PUT,xlarge_1.txt,810000,44822457013875,44822788974541,44822789363791,332.35,331.961
GET,xlarge_1.txt,810000,44822788956583,44822789704458,44822801048750,12.0922,0.747875
PUT,large_1.txt,81000,44822789698708,44822835237166,44822835252375,45.5537,45.5385
GET,medium_2.txt,16200,44822835218083,44822835249333,44822835295791,0.077708,0.03125
GET,small_3.txt,4050,44822835242875,44822835289833,44822835376250,0.133375,0.046958
PUT,.DS_Store,6149,44822835264875,44822839960541,44822839970250,4.70538,4.69567
PUT,medium_2.txt,16200,44822839954000,44822849952041,44822849963291,10.0093,9.99804
GET,medium_1.txt,8100,44822849928125,44822849951791,44822849978791,0.050666,0.023666
GET,medium_2.txt,16200,44823075492541,44823075518833,44823075561041,0.0685,0.026292
PUT,large_3.txt,405000,44822849945416,44823075523083,44823075567416,225.622,225.578
GET,large_1.txt,81000,44823075516458,44823075649083,44823076444041,0.927583,0.132625
GET,small_3.txt,4050,44823176797416,44823176820375,44823176837541,0.040125,0.022959
PUT,large_2.txt,162000,44823075643083,44823176820958,44823176842583,101.2,101.178
PUT,small_2.txt,1620,44823176812125,44823177880333,44823177891250,1.07912,1.06821
GET,medium_3.txt,40500,44823177874500,44823177917250,44823178087833,0.213333,0.04275
GET,small_3.txt,4050,44823177910416,44823177959666,44823178218666,0.30825,0.04925
GET,xlarge_1.txt,810000,44823177942041,44823178547791,44823207401000,29.459,0.60575
PUT,large_1.txt,81000,44823178542125,44823246285333,44823246299333,67.7572,67.7432
GET,small_1.txt,810,44823246305375,44823246340458,44823246400208,0.094833,0.035083
GET,small_3.txt,4050,44823246280583,44823246356916,44823246445541,0.164958,0.076333
PUT,small_1.txt,810,44823246323000,44823247261208,44823247292416,0.969416,0.938208
PUT,medium_2.txt,16200,44823247252291,44823260315416,44823260342458,13.0902,13.0631
GET,.DS_Store,6149,44823260384791,44823260404250,44823260497583,0.112792,0.019459
GET,medium_2.txt,16200,44823260312041,44823260448958,44823260519375,0.207334,0.136917
GET,medium_3.txt,40500,44823260404750,44823260454250,44823260873458,0.468708,0.0495
PUT,xlarge_1.txt,810000,44823262235333,44823742267375,44823742421416,480.186,480.032
PUT,medium_2.txt,16200,44823742249625,44823748900375,44823748910458,6.66083,6.65075
GET,small_1.txt,810,44823748915208,44823748932833,44823748948958,0.03375,0.017625
GET,medium_3.txt,40500,44823748876875,44823748939583,44823749060208,0.183333,0.062708
PUT,large_1.txt,81000,44823748931166,44823788223333,44823788249750,39.3186,39.2922
GET,medium_2.txt,16200,44823788177625,44823788203833,44823788253791,0.076166,0.026208
PUT,medium_3.txt,40500,44823788198583,44823806966291,44823806980375,18.7818,18.7677
GET,small.txt,42,44823809421875,44823809436375,44823809446666,0.024791,0.0145
PUT,.DS_Store,6149,44823806942208,44823809453333,44823809461791,2.51958,2.51112
GET,small_1.txt,810,44823809411625,44823809451000,44823809462916,0.051291,0.039375
GET,medium_1.txt,8100,44823974714125,44823974736916,44823974765791,0.051666,0.022791
GET,small_2.txt,1620,44823974733833,44823974758666,44823974774291,0.040458,0.024833
PUT,large_3.txt,405000,44823809433958,44823974759375,44823974837166,165.403,165.325
PUT,xlarge_1.txt,810000,44823974746458,44824302837541,44824302936625,328.19,328.091
PUT,large_3.txt,405000,44824302816000,44824466252250,44824466366041,163.55,163.436
GET,large_2.txt,162000,44824466232916,44824466391916,44824466937750,0.704834,0.159
PUT,large_2.txt,162000,44824466369375,44824556527500,44824556548333,90.179,90.1581
PUT,medium_2.txt,16200,44824556503666,44824563220541,44824563233791,6.73013,6.71687
PUT,small_1.txt,810,44824563193625,44824563579125,44824563586583,0.392958,0.3855
PUT,medium_1.txt,8100,44824563556000,44824566872041,44824567062291,3.50629,3.31604
GET,small.txt,42,44824567450708,44824567473791,44824567510250,0.059542,0.023083
GET,large_1.txt,81000,44824567461041,44824567519625,44824567970583,0.509542,0.058584
GET,xlarge_1.txt,810000,44824566848375,44824567479875,44824586851500,20.0031,0.6315
PUT,medium_3.txt,40500,44824569576000,44824596540208,44824596551333,26.9753,26.9642
PUT,.DS_Store,6149,44824596535000,44824600472500,44824600479875,3.94488,3.9375
PUT,.DS_Store,6149,44824600466041,44824604384916,44824604391625,3.92558,3.91887
PUT,.DS_Store,6149,44824604379000,44824608299083,44824608305291,3.92629,3.92008
PUT,.DS_Store,6149,44824608292541,44824612234916,44824612241708,3.94917,3.94238
GET,medium_3.txt,40500,44824612229166,44824612272791,44824612474750,0.245584,0.043625
PUT,medium_1.txt,8100,44824612266125,44824619140416,44824619173750,6.90763,6.87429
PUT,large_3.txt,405000,44824619129166,44824850224833,44824850312791,231.184,231.096
GET,small_1.txt,810,44824850269708,44824850408458,44824850474375,0.204667,0.13875
GET,small_1.txt,810,44824850430000,44824850477250,44824850532500,0.1025,0.04725
GET,medium_2.txt,16200,44824850390166,44824850481500,44824850541583,0.151417,0.091334
GET,large_1.txt,81000,44824850201208,44824850276166,44824850647875,0.446667,0.074958
PUT,large_1.txt,81000,44824850491833,44824908302291,44824908319375,57.8275,57.8105
PUT,small.txt,42,44824908296750,44824908352333,44824908356791,0.060041,0.055583
GET,small_3.txt,4050,44824908345541,44824908367958,44824908383250,0.037709,0.022417
GET,small_2.txt,1620,44824908366750,44824908389458,44824908398291,0.031541,0.022708
GET,medium_1.txt,8100,44824908507083,44824908811958,44824909041958,0.534875,0.304875
GET,large_2.txt,162000,44824908388125,44824908514291,44824911357833,2.96971,0.126166
GET,large_2.txt,162000,44824921088000,44824921422875,44824923021916,1.93392,0.334875
PUT,small_3.txt,4050,44824921425125,44824934416416,44824934440208,13.0151,12.9913
PUT,large_1.txt,81000,44824934411791,44825007354916,44825007423750,73.012,72.9431
PUT,medium_3.txt,40500,44825007328875,44825039949000,44825040002083,32.6732,32.6201
PUT,large_3.txt,405000,44825039923041,44825242690416,44825242779125,202.856,202.767
GET,large_2.txt,162000,44825242667416,44825242814541,44825243340791,0.673375,0.147125
PUT,large_1.txt,81000,44825242790625,44825287467583,44825287483166,44.6925,44.677
GET,small_1.txt,810,44825287443375,44825287467125,44825287483458,0.040083,0.02375
PUT,medium_2.txt,16200,44825287459333,44825296479833,44825296490041,9.03071,9.0205
GET,small.txt,42,44825296490166,44825296510416,44825296518583,0.028417,0.02025
GET,small_3.txt,4050,44825296475083,44825296524083,44825296539541,0.064458,0.049
GET,medium_2.txt,16200,44825296454083,44825296481416,44825296540583,0.0865,0.027333
PUT,small_1.txt,810,44825296506458,44825297215541,44825297221833,0.715375,0.709083
GET,large_3.txt,405000,44825300219375,44825300547708,44825302170000,1.95063,0.328333
PUT,small_1.txt,810,44825301238416,44825302776333,44825302781958,1.54354,1.53792
PUT,small_2.txt,1620,44825309557458,44825311009458,44825311038375,1.48092,1.452
GET,large_1.txt,81000,44825311007625,44825311095250,44825311858916,0.851291,0.087625
PUT,large_2.txt,162000,44825311095458,44825420264208,44825420285958,109.191,109.169
PUT,medium_3.txt,40500,44825420242041,44825443548916,44825443558833,23.3168,23.3069
GET,medium_2.txt,16200,44825443518000,44825443543666,44825443588125,0.070125,0.025666
PUT,small.txt,42,44825443542291,44825443600000,44825443604041,0.06175,0.057709
GET,medium_3.txt,40500,44825443632666,44825443691750,44825443875125,0.242459,0.059084
PUT,small_3.txt,4050,44825443675375,44825447028833,44825447282458,3.60708,3.35346
GET,xlarge_1.txt,810000,44825447014541,44825447642416,44825485614083,38.5995,0.627875
PUT,large_3.txt,405000,44825447630416,44825721452500,44825721528375,273.898,273.822
GET,small_1.txt,810,44825721439916,44825721463083,44825721538416,0.0985,0.023167
PUT,.DS_Store,6149,44825721456666,44825724948291,44825724956208,3.49954,3.49162
PUT,small_2.txt,1620,44825724926208,44825725859083,44825725867833,0.941625,0.932875
GET,medium_1.txt,8100,44825725835125,44825725859833,44825725904958,0.069833,0.024708
GET,medium_3.txt,40500,44825725852000,44825725888333,44825726044375,0.192375,0.036333
PUT,large_2.txt,162000,44825725888708,44825824599250,44825824624833,98.7361,98.7105
PUT,small_2.txt,1620,44825824576500,44825825508583,44825825517333,0.940833,0.932083
GET,small_3.txt,4050,44825825482000,44825825509500,44825825531541,0.049541,0.0275
PUT,large_3.txt,405000,44825825495791,44826033272416,44826033322125,207.826,207.777
PUT,xlarge_1.txt,810000,44826033250791,44826358456958,44826358819208,325.568,325.206
GET,small_3.txt,4050,44826359171500,44826359200791,44826359225750,0.05425,0.029291
PUT,small_1.txt,810,44826359187791,44826359706625,44826359756666,0.568875,0.518834
PUT,small_1.txt,810,44826359685083,44826360310333,44826360328791,0.643708,0.62525
GET,xlarge_1.txt,810000,44826358435750,44826359202583,44826371036291,12.6005,0.766833
PUT,large_1.txt,81000,44826360294791,44826406187000,44826406203708,45.9089,45.8922
PUT,medium_1.txt,8100,44826406162416,44826410722541,44826410935416,4.773,4.56013
GET,xlarge_1.txt,810000,44826410698125,44826411283458,44826429989375,19.2913,0.585333
PUT,medium_3.txt,40500,44826411259916,44826437245875,44826437255625,25.9957,25.986
PUT,large_3.txt,405000,44826437240583,44826690409416,44826690455916,253.215,253.169
GET,small_1.txt,810,44826690403625,44826690649500,44826690659708,0.256083,0.245875
GET,small_2.txt,1620,44826690793083,44826691461166,44826691505166,0.712083,0.668083
PUT,small_1.txt,810,44826691012583,44826692633541,44826692658000,1.64542,1.62096
GET,large_3.txt,405000,44826690466666,44826690801875,44826694727625,4.26096,0.335209
PUT,medium_3.txt,40500,44826692301875,44826726466583,44826726513250,34.2114,34.1647
GET,small_1.txt,810,44826726433375,44826726457708,44826726525000,0.091625,0.024333
PUT,small_1.txt,810,44826726452583,44826727347625,44826727370583,0.918,0.895042
PUT,medium_3.txt,40500,44826727340791,44826760591458,44826760613958,33.2732,33.2507
GET,medium_2.txt,16200,44826760950333,44826761137250,44826761333125,0.382792,0.186917
GET,small.txt,42,44826761143500,44826761362375,44826761391833,0.248333,0.218875
PUT,small.txt,42,44826761209333,44826761535166,44826761550208,0.340875,0.325833
GET,large_3.txt,405000,44826760578916,44826760958458,44826764094791,3.51587,0.379542
GET,medium_3.txt,40500,44826773396708,44826773553958,44826774037958,0.64125,0.15725
PUT,large_3.txt,405000,44826777594958,44827389744666,44827389810916,612.216,612.15
GET,.DS_Store,6149,44827389737833,44827389853166,44827389926291,0.188458,0.115333
GET,.DS_Store,6149,44827389853583,44827389942166,44827390027333,0.17375,0.088583
PUT,medium_2.txt,16200,44827401444500,44827431088291,44827431122958,29.6785,29.6438
GET,small_2.txt,1620,44827459131375,44827459200750,44827459235625,0.10425,0.069375
GET,xlarge_1.txt,810000,44827431079333,44827432511000,44827471012041,39.9327,1.43167
PUT,large_2.txt,162000,44827478231583,44827668918583,44827668943500,190.712,190.687
GET,medium_2.txt,16200,44827668910833,44827668983750,44827669144875,0.234042,0.072917
PUT,medium_1.txt,8100,44827668964750,44827675019583,44827675026500,6.06175,6.05483
PUT,small_2.txt,1620,44827687720833,44827688829541,44827688835875,1.11504,1.10871
GET,medium_3.txt,40500,44827701515041,44827701616291,44827701758958,0.243917,0.10125
GET,xlarge_1.txt,810000,44827695991500,44827696542125,44827720527000,24.5355,0.550625
PUT,large_1.txt,81000,44827702962166,44827762401041,44827762414166,59.452,59.4389
PUT,small_2.txt,1620,44827762396166,44827763455791,44827763462041,1.06587,1.05963
PUT,large_2.txt,162000,44827775787708,44827879949750,44827879969125,104.181,104.162
PUT,large_3.txt,405000,44827879944541,44828135169625,44828135209500,255.265,255.225
PUT,medium_2.txt,16200,44828135164000,44828145418041,44828145425000,10.261,10.254
GET,large_2.txt,162000,44828158156125,44828158302750,44828158890000,0.733875,0.146625
GET,medium_2.txt,16200,44828164812916,44828164903250,44828164944541,0.131625,0.090334
GET,.DS_Store,6149,44828269845750,44828269884791,44828269898333,0.052583,0.039041
GET,.DS_Store,6149,44828271616500,44828271634416,44828271644541,0.028041,0.017916
GET,.DS_Store,6149,44828284248291,44828284270375,44828284280958,0.032667,0.022084
PUT,medium_2.txt,16200,44828287643416,44828294916208,44828294924083,7.28067,7.27279
GET,.DS_Store,6149,44828298409333,44828298444750,44828298453083,0.04375,0.035417
GET,large_1.txt,81000,44828312219333,44828312310166,44828312562958,0.343625,0.090833
