request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_3.txt,4050,44920394499041,44920394614708,44920395026875,0.527834,0.115667
GET,small_3.txt,4050,44920394599333,44920395134541,44920395507458,0.908125,0.535208
PUT,small_2.txt,1620,44920394765000,44920400387375,44920400407541,5.64254,5.62237
PUT,small_1.txt,810,44920399030000,44920400620333,44920400771958,1.74196,1.59033
GET,large_2.txt,162000,44920400543541,44920401011333,44920404244291,3.70075,0.467792
GET,small_2.txt,1620,44920402187375,44920404437000,44920404477916,2.29054,2.24962
GET,large_3.txt,405000,44920401010583,44920403718708,44920406915833,5.90525,2.70812
PUT,large_1.txt,81000,44920402223875,44920472614125,44920472642000,70.4181,70.3902
GET,small_3.txt,4050,44920472612708,44920472679125,44920472847791,0.235083,0.066417
GET,large_3.txt,405000,44920472657916,44920473037666,44920476160541,3.50263,0.37975
PUT,small_3.txt,4050,44920473022958,44920476681875,44920476721625,3.69867,3.65892
GET,small.txt,42,44920476782750,44920476829250,44920476845750,0.063,0.0465
GET,medium_2.txt,16200,44920476693666,44920476780333,44920476902000,0.208334,0.086667
GET,medium_1.txt,8100,44920485412916,44920485458500,44920485529625,0.116709,0.045584
PUT,.DS_Store,6149,44920489599458,44920497546333,44920497582958,7.9835,7.94688
PUT,small_3.txt,4050,44920497551000,44920502734416,44920502808583,5.25758,5.18342
PUT,xlarge_1.txt,810000,44920502753625,44920861488750,44920861560000,358.806,358.735
PUT,large_2.txt,162000,44920861466750,44920925114583,44920925133333,63.6666,63.6478
PUT,small_3.txt,4050,44920925088208,44920926732000,44920926739083,1.65088,1.64379
GET,medium_3.txt,40500,44920926705416,44920926752125,44920926948458,0.243042,0.046709
PUT,xlarge_1.txt,810000,44920926744875,44921245927791,44921246005291,319.26,319.183
GET,.DS_Store,6149,44921245905208,44921245946250,44921246041125,0.135917,0.041042
PUT,medium_1.txt,8100,44921245916541,44921249644625,44921249655166,3.73862,3.72808
PUT,small.txt,42,44921249637291,44921249670041,44921249676375,0.039084,0.03275
GET,small_3.txt,4050,44921249620500,44921249661250,44921249682666,0.062166,0.04075
GET,.DS_Store,6149,44921249669500,44921249685791,44921249696875,0.027375,0.016291
PUT,medium_1.txt,8100,44921249682250,44921253464041,44921253471125,3.78887,3.78179
GET,small.txt,42,44921253464250,44921253474041,44921253480541,0.016291,0.009791
GET,medium_1.txt,8100,44921259000375,44921259035625,44921259061208,0.060833,0.03525
GET,large_1.txt,81000,44921261803041,44921261888333,44921262151833,0.348792,0.085292
GET,medium_1.txt,8100,44921262900708,44921263107625,44921263135833,0.235125,0.206917
PUT,medium_2.txt,16200,44921263108666,44921271144500,44921271153500,8.04483,8.03583
PUT,.DS_Store,6149,44921271138958,44921273982000,44921273990083,2.85113,2.84304
GET,medium_2.txt,16200,44921273975541,44921274001791,44921274035541,0.06,0.02625
GET,medium_2.txt,16200,44921274002625,44921274030083,44921274067291,0.064666,0.027458
GET,xlarge_1.txt,810000,44921262369166,44921262899750,44921276246041,13.8769,0.530584
PUT,medium_2.txt,16200,44921275635250,44921291356250,44921291385375,15.7501,15.721
PUT,small_1.txt,810,44921291347083,44921291772708,44921291801208,0.454125,0.425625
PUT,large_3.txt,405000,44921291765250,44921472985625,44921473053791,181.289,181.22
PUT,small_2.txt,1620,44921472960291,44921473742833,44921473749875,0.789584,0.782542
PUT,small.txt,42,44921473716750,44921473757166,44921473763375,0.046625,0.040416
PUT,medium_3.txt,40500,44921473750458,44921492079583,44921492089833,18.3394,18.3291
GET,large_2.txt,162000,44921492074416,44921492203625,44921492668916,0.5945,0.129209
PUT,large_2.txt,162000,44921492184833,44921565887916,44921565907958,73.7231,73.7031
GET,medium_2.txt,16200,44921565881375,44921565961875,44921566107041,0.225666,0.0805
PUT,small_2.txt,1620,44921565938750,44921566724833,44921566749333,0.810583,0.786083
PUT,.DS_Store,6149,44921566717000,44921569541166,44921569591250,2.87425,2.82417
PUT,xlarge_1.txt,810000,44921569530166,44921902331750,44921902518166,332.988,332.802
PUT,small.txt,42,44921902389083,44921902434083,44921902684083,0.295,0.045
GET,large_1.txt,81000,44921902310541,44921902414708,44921902813333,0.502792,0.104167
GET,.DS_Store,6149,44921902424500,44921902622416,44921902695583,0.271083,0.197916
PUT,xlarge_1.txt,810000,44921902601500,44922225689416,44922225761208,323.16,323.088
PUT,medium_2.txt,16200,44922225666166,44922232088208,44922232096500,6.43033,6.42204
PUT,small_2.txt,1620,44922232061875,44922232750458,44922232757791,0.695916,0.688583
PUT,small_1.txt,810,44922232723958,44922233096458,44922233103458,0.3795,0.3725
PUT,small_1.txt,810,44922233069708,44922233436125,44922233636708,0.567,0.366417
GET,small_2.txt,1620,44922234013750,44922234214958,44922234229291,0.215541,0.201208
GET,medium_2.txt,16200,44922233991958,44922234024083,44922234239375,0.247417,0.032125
GET,large_3.txt,405000,44922238741916,44922239109833,44922240637291,1.89538,0.367917
GET,xlarge_1.txt,810000,44922233413625,44922234014083,44922244962958,11.5493,0.600458
GET,medium_1.txt,8100,44922244849916,44922244920458,44922244991708,0.141792,0.070542
PUT,medium_1.txt,8100,44922245010250,44922250574541,44922250653041,5.64279,5.56429
PUT,large_1.txt,81000,44922250231000,44922287078666,44922287092041,36.861,36.8477
PUT,medium_3.txt,40500,44922287074000,44922305357458,44922305367916,18.2939,18.2835
PUT,medium_3.txt,40500,44922305352583,44922323762583,44922323774833,18.4222,18.41
GET,large_1.txt,81000,44922323757875,44922323869791,44922324144333,0.386458,0.111916
GET,large_1.txt,81000,44922323835583,44922323932666,44922324602666,0.767083,0.097083
PUT,large_1.txt,81000,44922323905333,44922369175375,44922369207166,45.3018,45.27
PUT,.DS_Store,6149,44922369182875,44922376631375,44922376646583,7.46371,7.4485
GET,large_1.txt,81000,44922376630541,44922376791208,44922377290958,0.660417,0.160667
PUT,medium_1.txt,8100,44922376790041,44922385904791,44922385920791,9.13075,9.11475
PUT,medium_1.txt,8100,44922385895833,44922395465791,44922395481958,9.58612,9.56996
GET,small_3.txt,4050,44922395455666,44922395494916,44922395540250,0.084584,0.03925
PUT,medium_1.txt,8100,44922397529833,44922407604541,44922407678041,10.1482,10.0747
GET,small.txt,42,44922408276708,44922408337541,44922408355291,0.078583,0.060833
GET,large_3.txt,405000,44922419736708,44922420486125,44922424121250,4.38454,0.749417
GET,xlarge_1.txt,810000,44922426493541,44922428029000,44922532091875,105.598,1.53546
GET,xlarge_1.txt,810000,44922420490958,44922422157375,44922574236583,153.746,1.66642
PUT,medium_3.txt,40500,44922635741708,44922668168916,44922668210833,32.4691,32.4272
GET,small_3.txt,4050,44922668181958,44922668250458,44922668293833,0.111875,0.0685
PUT,medium_3.txt,40500,44922702688166,44922732883916,44922732892833,30.2047,30.1958
GET,medium_3.txt,40500,44922745776625,44922745877000,44922746166708,0.390083,0.100375
GET,xlarge_1.txt,810000,44922681078791,44922683364250,44922781974000,100.895,2.28546
GET,large_2.txt,162000,44922787252500,44922787556125,44922788639750,1.38725,0.303625
PUT,large_2.txt,162000,44922996587333,44923125786250,44923125883166,129.296,129.199
PUT,large_1.txt,81000,44923144877833,44923218526166,44923218538875,73.661,73.6483
GET,small.txt,42,44923231269333,44923231315125,44923231332500,0.063167,0.045792
GET,xlarge_1.txt,810000,44923244755625,44923246118041,44923402625125,157.869,1.36242
GET,small_2.txt,1620,44923605998791,44923606039458,44923606069875,0.071084,0.040667
PUT,large_3.txt,405000,44923635659708,44923930990041,44923931093500,295.434,295.33
PUT,large_1.txt,81000,44923930974416,44923984387541,44923985330625,54.3562,53.4131
GET,large_2.txt,162000,44923984382166,44923985599250,44923986498666,2.1165,1.21708
GET,small.txt,42,44923998124541,44923998189750,44923998269375,0.144834,0.065209
GET,large_2.txt,162000,44924010814458,44924011104416,44924012364500,1.55004,0.289958
GET,small_1.txt,810,44924628335041,44924628373333,44924628396500,0.061459,0.038292
GET,xlarge_1.txt,810000,44924645332333,44924646667541,44924759037291,113.705,1.33521
PUT,xlarge_1.txt,810000,44924932229291,44925507689916,44925507775750,575.546,575.461
GET,small_2.txt,1620,44925521225041,44925521281125,44925521320500,0.095459,0.056084
GET,small.txt,42,44925527213041,44925527265333,44925527282375,0.069334,0.052292
PUT,small_3.txt,4050,44925544826791,44925549872458,44925549899916,5.07313,5.04567
GET,xlarge_1.txt,810000,44925507684208,44925510118375,44925592046000,84.3618,2.43417
PUT,medium_3.txt,40500,44925566123166,44925598175125,44925598210791,32.0876,32.052
PUT,medium_2.txt,16200,44925610740250,44925628064625,44925628099500,17.3592,17.3244
GET,large_2.txt,162000,44925641091000,44925641375625,44925642776125,1.68512,0.284625
GET,xlarge_1.txt,810000,44925539131916,44925540441833,44925675795708,136.664,1.30992
PUT,medium_3.txt,40500,44926604262791,44926641272375,44926641314125,37.0513,37.0096
GET,medium_3.txt,40500,44926729752250,44926729881958,44926730115250,0.363,0.129708
GET,small_1.txt,810,44926734123208,44926734164000,44926734184041,0.060833,0.040792
PUT,medium_2.txt,16200,44926752185875,44926767553166,44926767569416,15.3835,15.3673
PUT,xlarge_1.txt,810000,44926788634666,44927226401625,44927226486708,437.852,437.767
PUT,medium_2.txt,16200,44927226398250,44927233774000,44927233783375,7.38513,7.37575
PUT,large_2.txt,162000,44927233767958,44927306961041,44927306983958,73.216,73.1931
GET,small.txt,42,44927306956208,44927307019625,44927307072333,0.116125,0.063417
GET,small_1.txt,810,44927306992875,44927307028916,44927307081041,0.088166,0.036041
GET,small_3.txt,4050,44927307007125,44927307043291,44927307135083,0.127958,0.036166
PUT,large_3.txt,405000,44927307023458,44927469711541,44927469762791,162.739,162.688
GET,small_1.txt,810,44927469687708,44927469725666,44927469796916,0.109208,0.037958
GET,small_2.txt,1620,44927469699458,44927469726625,44927469821583,0.122125,0.027167
PUT,small_1.txt,810,44927469716000,44927470128291,44927470141666,0.425666,0.412291
GET,small.txt,42,44927470123791,44927470145125,44927470150875,0.027084,0.021334
PUT,large_1.txt,81000,44927470172833,44927502150625,44927502262083,32.0892,31.9778
GET,large_3.txt,405000,44927502127958,44927502427875,44927504186750,2.05879,0.299917
PUT,medium_2.txt,16200,44927502402166,44927509695875,44927509704041,7.30187,7.29371
PUT,large_2.txt,162000,44927509672541,44927581090541,44927581111625,71.4391,71.418
GET,small_2.txt,1620,44927581067250,44927581091416,44927581126958,0.059708,0.024166
PUT,small_3.txt,4050,44927581079625,44927582958041,44927582965041,1.88542,1.87842
PUT,small_1.txt,810,44927582932041,44927583336541,44927583345291,0.41325,0.4045
PUT,medium_1.txt,8100,44927583313333,44927586924583,44927586932125,3.61879,3.61125
PUT,large_2.txt,162000,44927586898375,44927659295750,44927659372125,72.4737,72.3974
GET,small_3.txt,4050,44927659409458,44927659477375,44927659492375,0.082917,0.067917
GET,large_2.txt,162000,44927659274000,44927659415500,44927659877333,0.603333,0.1415
GET,xlarge_1.txt,810000,44927659471500,44927660124458,44927680468625,20.9971,0.652958
PUT,medium_3.txt,40500,44927660106791,44927680513583,44927680571375,20.4646,20.4068
PUT,medium_1.txt,8100,44927680494791,44927684393041,44927684426125,3.93133,3.89825
GET,medium_1.txt,8100,44927684382500,44927684403083,44927684476000,0.0935,0.020583
GET,small_2.txt,1620,44927693411333,44927693459875,44927693493000,0.081667,0.048542
GET,medium_3.txt,40500,44927697178916,44927697315750,44927697604416,0.4255,0.136834
PUT,.DS_Store,6149,44927711503916,44927719030750,44927719036291,7.53238,7.52683
GET,medium_2.txt,16200,44927731531375,44927731612666,44927731725750,0.194375,0.081291
GET,xlarge_1.txt,810000,44927709707666,44927711100958,44927761344666,51.637,1.39329
PUT,small_3.txt,4050,44927788327000,44927790416916,44927790455500,2.1285,2.08992
PUT,small_3.txt,4050,44927790404333,44927792308041,44927792314458,1.91013,1.90371
GET,small_1.txt,810,44927803249500,44927803263541,44927803271083,0.021583,0.014041
GET,small_1.txt,810,44927805012041,44927805050166,44927805058250,0.046209,0.038125
PUT,small_3.txt,4050,44927817186500,44927819177750,44927819183625,1.99713,1.99125
PUT,small_2.txt,1620,44927831899375,44927832729125,44927832735291,0.835916,0.82975
PUT,small_3.txt,4050,44927835337125,44927837271125,44927837276958,1.93983,1.934
GET,.DS_Store,6149,44927845419291,44927845486000,44927845497041,0.07775,0.066709
GET,medium_1.txt,8100,44927849933333,44927849996500,44927850022375,0.089042,0.063167
PUT,small_2.txt,1620,44927861827708,44927862609250,44927862614750,0.787042,0.781542
GET,medium_2.txt,16200,44927867544041,44927867571333,44927867613000,0.068959,0.027292
GET,medium_3.txt,40500,44927875282125,44927875317458,44927875438625,0.1565,0.035333
GET,large_2.txt,162000,44927891915375,44927892060666,44927892614333,0.698958,0.145291
GET,small.txt,42,44927925673500,44927925685666,44927925691916,0.018416,0.012166
PUT,medium_2.txt,16200,44928201055541,44928208428458,44928208435875,7.38033,7.37292
GET,medium_1.txt,8100,44928221291958,44928221320875,44928221345250,0.053292,0.028917
PUT,medium_3.txt,40500,44928222249541,44928239026833,44928239035375,16.7858,16.7773
GET,medium_1.txt,8100,44928251977083,44928252022750,44928252043458,0.066375,0.045667
PUT,medium_2.txt,16200,44928268548708,44928275944375,44928275951166,7.40246,7.39567
PUT,large_3.txt,405000,44928290640375,44928451461166,44928451502916,160.863,160.821
