request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_1.txt,810,45089800437166,45089805543166,45089805597333,5.16017,5.106
PUT,small.txt,42,45089800550583,45089808077958,45089808104291,7.55371,7.52738
GET,small_3.txt,4050,45089805778208,45089808149791,45089808358625,2.58042,2.37158
PUT,small_2.txt,1620,45089805847833,45089809383833,45089809405416,3.55758,3.536
PUT,medium_1.txt,8100,45089811103458,45089826330916,45089826392041,15.2886,15.2275
GET,small_2.txt,1620,45089826203916,45089826474208,45089826876333,0.672417,0.270292
PUT,small_1.txt,810,45089826239291,45089827416166,45089827434291,1.195,1.17687
PUT,medium_2.txt,16200,45089827413208,45089846823583,45089846864125,19.4509,19.4104
GET,large_2.txt,162000,45089846821750,45089847039291,45089852293291,5.47154,0.217541
PUT,.DS_Store,6149,45089847038333,45089852949416,45089852961625,5.92329,5.91108
GET,small.txt,42,45089852974625,45089852994708,45089853023583,0.048958,0.020083
GET,medium_2.txt,16200,45089852941666,45089852974083,45089853321416,0.37975,0.032417
GET,xlarge_1.txt,810000,45089809382791,45089811294333,45089865264916,55.8821,1.91154
PUT,large_1.txt,81000,45089852991166,45089896974000,45089896990041,43.9989,43.9828
PUT,small_2.txt,1620,45089896970416,45089897730666,45089897743458,0.773042,0.76025
GET,small_3.txt,4050,45089897756583,45089897775541,45089897994041,0.237458,0.018958
GET,medium_2.txt,16200,45089897724583,45089897757083,45089898064875,0.340292,0.0325
PUT,medium_3.txt,40500,45089897773166,45089916565916,45089916579083,18.8059,18.7928
GET,small_3.txt,4050,45089916560541,45089916595708,45089916708375,0.147834,0.035167
PUT,small_2.txt,1620,45089916580458,45089917368000,45089917389583,0.809125,0.787542
PUT,medium_2.txt,16200,45089917358208,45089924694958,45089924702333,7.34413,7.33675
GET,large_1.txt,81000,45089924691833,45089924758250,45089925687083,0.99525,0.066417
PUT,small_2.txt,1620,45089924759250,45089925757541,45089925774166,1.01492,0.998291
PUT,medium_2.txt,16200,45089925740500,45089933322083,45089933340958,7.60046,7.58158
GET,small_1.txt,810,45090112783416,45090112813625,45090112831125,0.047709,0.030209
PUT,large_3.txt,405000,45089933316250,45090112811416,45090112853916,179.538,179.495
PUT,small_1.txt,810,45090112798166,45090113201666,45090113213375,0.415209,0.4035
GET,medium_1.txt,8100,45090113265625,45090113290916,45090113689625,0.424,0.025291
GET,large_1.txt,81000,45090113196500,45090113271875,45090114316958,1.12046,0.075375
PUT,large_3.txt,405000,45090113280541,45090290409750,45090290454750,177.174,177.129
PUT,xlarge_1.txt,810000,45090290389291,45090615038875,45090615117916,324.729,324.65
GET,small_3.txt,4050,45090938749791,45090938779500,45090938818291,0.0685,0.029709
PUT,xlarge_1.txt,810000,45090615018791,45090938764958,45090938875625,323.857,323.746
GET,medium_3.txt,40500,45090938765416,45090938988583,45090939561291,0.795875,0.223167
PUT,large_1.txt,81000,45090938963750,45090973106166,45090973122416,34.1587,34.1424
GET,.DS_Store,6149,45090973082541,45090973122208,45090973131833,0.049292,0.039667
PUT,medium_3.txt,40500,45090973093541,45090989512791,45090989523958,16.4304,16.4193
PUT,small.txt,42,45090989488916,45090989543041,45090989549500,0.060584,0.054125
PUT,small.txt,42,45090989520708,45090989554000,45090989558208,0.0375,0.033292
PUT,large_1.txt,81000,45090989554000,45091021663041,45091021674208,32.1202,32.109
PUT,medium_3.txt,40500,45091021651083,45091037826750,45091037883000,16.2319,16.1757
GET,small_2.txt,1620,45091037971333,45091038006708,45091038036291,0.064958,0.035375
GET,medium_3.txt,40500,45091037935000,45091038006208,45091038703791,0.768791,0.071208
PUT,small_2.txt,1620,45091037985208,45091039173000,45091039365750,1.38054,1.18779
GET,medium_2.txt,16200,45091039164791,45091039410416,45091039914833,0.750042,0.245625
GET,large_2.txt,162000,45091037812250,45091037958833,45091041061541,3.24929,0.146583
PUT,.DS_Store,6149,45091039420958,45091042992208,45091043010083,3.58913,3.57125
PUT,large_2.txt,162000,45091042988708,45091115941125,45091115962541,72.9738,72.9524
PUT,medium_2.txt,16200,45091115916000,45091123129125,45091123136791,7.22079,7.21312
GET,small.txt,42,45091123483708,45091123507666,45091123518375,0.034667,0.023958
PUT,small_1.txt,810,45091123102458,45091123506791,45091123579291,0.476833,0.404333
GET,large_2.txt,162000,45091123494250,45091123617250,45091125393416,1.89917,0.123
PUT,small_3.txt,4050,45091123611000,45091125781791,45091125793375,2.18237,2.17079
GET,small_3.txt,4050,45091125821958,45091125846958,45091125950916,0.128958,0.025
GET,medium_1.txt,8100,45091125848375,45091125871041,45091126276166,0.427791,0.022666
GET,small_2.txt,1620,45091125835208,45091125869041,45091126363208,0.528,0.033833
GET,large_1.txt,81000,45091125758875,45091125844666,45091127214666,1.45579,0.085791
PUT,large_2.txt,162000,45091125865791,45091200488833,45091200509083,74.6433,74.623
PUT,large_1.txt,81000,45091200465958,45091234219208,45091234236875,33.7709,33.7533
GET,medium_2.txt,16200,45091234197041,45091234233666,45091234480541,0.2835,0.036625
GET,xlarge_1.txt,810000,45091234219250,45091234850958,45091247511250,13.292,0.631708
PUT,xlarge_1.txt,810000,45091234830125,45091596657625,45091596747416,361.917,361.827
GET,small_3.txt,4050,45091596754041,45091596814583,45091597037583,0.283542,0.060542
PUT,small.txt,42,45091596713625,45091596775291,45091596841916,0.128291,0.061666
GET,medium_1.txt,8100,45091597105208,45091597152250,45091597575666,0.470458,0.047042
PUT,small_1.txt,810,45091597127708,45091598224666,45091598243583,1.11587,1.09696
GET,small_1.txt,810,45091598221333,45091598285916,45091598355000,0.133667,0.064583
GET,large_1.txt,81000,45091596771583,45091597121833,45091598998000,2.22642,0.35025
GET,large_1.txt,81000,45091596635000,45091596719958,45091600034791,3.39979,0.084958
PUT,medium_1.txt,8100,45091598248583,45091603392791,45091603410166,5.16158,5.14421
PUT,small_1.txt,810,45091603384791,45091603874041,45091603909541,0.52475,0.48925
GET,medium_2.txt,16200,45091603807833,45091603941833,45091604844416,1.03658,0.134
PUT,large_3.txt,405000,45091603829916,45091780305166,45091780602875,176.773,176.475
GET,xlarge_1.txt,810000,45091780276916,45091780994458,45091792887958,12.611,0.717542
GET,small.txt,42,45091960154208,45091960181083,45091960196041,0.041833,0.026875
PUT,large_3.txt,405000,45091780970458,45091960176583,45091960216125,179.246,179.206
PUT,medium_1.txt,8100,45091960169583,45091963795625,45091963803458,3.63388,3.62604
PUT,small.txt,42,45091963769083,45091963808125,45091963820375,0.051292,0.039042
GET,small_3.txt,4050,45091963850875,45091963873416,45091963954833,0.103958,0.022541
GET,medium_1.txt,8100,45091963866833,45091963909500,45091964360416,0.493583,0.042667
GET,medium_3.txt,40500,45091963802125,45091963858083,45091964557291,0.755166,0.055958
PUT,small_3.txt,4050,45091963883583,45091966168750,45091966189583,2.306,2.28517
GET,small.txt,42,45091966244708,45091966287375,45091966322166,0.077458,0.042667
GET,medium_2.txt,16200,45091966161583,45091966255041,45091966706041,0.544458,0.093458
PUT,large_2.txt,162000,45091966286125,45092044539750,45092044560375,78.2742,78.2536
GET,medium_2.txt,16200,45092044518375,45092044554208,45092044800500,0.282125,0.035833
PUT,large_3.txt,405000,45092044544916,45092217345666,45092217390041,172.845,172.801
PUT,medium_3.txt,40500,45092217324625,45092233450500,45092233710375,16.3858,16.1259
GET,small_3.txt,4050,45092234024875,45092234064000,45092234109875,0.085,0.039125
GET,large_2.txt,162000,45092234040500,45092234149541,45092239207333,5.16683,0.109041
PUT,medium_2.txt,16200,45092234144291,45092244876500,45092244889583,10.7453,10.7322
GET,large_3.txt,405000,45092244872291,45092245168666,45092257540500,12.6682,0.296375
GET,xlarge_1.txt,810000,45092233425708,45092234045583,45092258296666,24.871,0.619875
PUT,large_1.txt,81000,45092245163125,45092288707291,45092288773958,43.6108,43.5442
PUT,medium_1.txt,8100,45092288686875,45092292432000,45092292456416,3.76954,3.74512
GET,small_2.txt,1620,45092292417041,45092292437666,45092292511000,0.093959,0.020625
GET,small.txt,42,45092292430791,45092292526500,45092292538083,0.107292,0.095709
GET,small_1.txt,810,45092292512833,45092292567458,45092292654583,0.14175,0.054625
GET,small_1.txt,810,45092292567666,45092292612958,45092292683583,0.115917,0.045292
PUT,medium_1.txt,8100,45092292699541,45092297070958,45092297086583,4.38704,4.37142
PUT,small_1.txt,810,45092297616833,45092298257125,45092298290166,0.673333,0.640292
GET,xlarge_1.txt,810000,45092297069958,45092297623583,45092335141166,38.0712,0.553625
PUT,large_2.txt,162000,45092298254708,45092399385791,45092399420500,101.166,101.131
GET,.DS_Store,6149,45092399792875,45092400901208,45092400995500,1.20263,1.10833
GET,small_2.txt,1620,45092399813083,45092401024750,45092401391541,1.57846,1.21167
GET,medium_3.txt,40500,45092399756083,45092399799000,45092401728916,1.97283,0.042917
GET,medium_2.txt,16200,45092399829208,45092401435166,45092402118083,2.28887,1.60596
GET,large_3.txt,405000,45092399380958,45092399761625,45092427601750,28.2208,0.380667
PUT,medium_3.txt,40500,45092399850458,45092454307000,45092454332750,54.4823,54.4565
PUT,small_2.txt,1620,45092454032708,45092458475291,45092458506083,4.47337,4.44258
GET,medium_2.txt,16200,45092455757083,45092458509000,45092458945958,3.18887,2.75192
PUT,medium_1.txt,8100,45092455828875,45092466282541,45092466307583,10.4787,10.4537
PUT,large_1.txt,81000,45092464828791,45092530793875,45092530831875,66.0031,65.9651
GET,small.txt,42,45092530786875,45092530956458,45092530986583,0.199708,0.169583
PUT,xlarge_1.txt,810000,45092530843458,45092992073291,45092992240416,461.397,461.23
PUT,medium_1.txt,8100,45092992062916,45092995830125,45092995888916,3.826,3.76721
GET,medium_3.txt,40500,45092995820916,45092995874166,45092997507875,1.68696,0.05325
GET,large_2.txt,162000,45092995873333,45092995999208,45093000887291,5.01396,0.125875
PUT,.DS_Store,6149,45092995993791,45093001394458,45093001427791,5.434,5.40067
GET,small_2.txt,1620,45093001423208,45093001478666,45093001551208,0.128,0.055458
GET,small.txt,42,45093001437833,45093001563250,45093001586083,0.14825,0.125417
GET,medium_3.txt,40500,45093001384375,45093001442708,45093003085500,1.70112,0.058333
GET,medium_3.txt,40500,45093001450958,45093001593000,45093003171875,1.72092,0.142042
