request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,medium_1.txt,8100,44982441460833,44982445892000,44982446273208,4.81238,4.43117
GET,medium_1.txt,8100,44982441552375,44982446354333,44982446444500,4.89213,4.80196
GET,small_1.txt,810,44982441377416,44982445856083,44982446500083,5.12267,4.47867
GET,medium_3.txt,40500,44982441620125,44982449962375,44982450611083,8.99096,8.34225
PUT,medium_1.txt,8100,44982446671625,44982461372833,44982461434250,14.7626,14.7012
PUT,small.txt,42,44982461379208,44982461506250,44982461526083,0.146875,0.127042
GET,medium_2.txt,16200,44982461504875,44982461582375,44982461791583,0.286708,0.0775
GET,small_1.txt,810,44982461573000,44982461829750,44982461856375,0.283375,0.25675
GET,small.txt,42,44982464013291,44982468114041,44982468135583,4.12229,4.10075
PUT,small_2.txt,1620,44982461615541,44982468166083,44982468176250,6.56071,6.55054
PUT,medium_3.txt,40500,44982464054166,44982502983833,44982503010708,38.9565,38.9297
PUT,medium_2.txt,16200,44982502983458,44982512391166,44982512402500,9.41904,9.40771
GET,small_3.txt,4050,44982512391708,44982512411625,44982512430291,0.038583,0.019917
PUT,large_3.txt,405000,44982512439750,44982677972791,44982678048750,165.609,165.533
PUT,xlarge_1.txt,810000,44982677958541,44983000583375,44983000740583,322.782,322.625
GET,small_2.txt,1620,44983319685625,44983319710125,44983319725750,0.040125,0.0245
PUT,xlarge_1.txt,810000,44983000557750,44983319730041,44983319804500,319.247,319.172
PUT,small_2.txt,1620,44983319704541,44983320487541,44983320496708,0.792167,0.783
GET,medium_3.txt,40500,44983320463750,44983320512625,44983320627875,0.164125,0.048875
GET,large_3.txt,405000,44983320506000,44983320847500,44983322429291,1.92329,0.3415
PUT,large_2.txt,162000,44983320826583,44983392815625,44983392848333,72.0217,71.989
GET,small_1.txt,810,44983565190416,44983565210708,44983565229916,0.0395,0.020292
PUT,large_3.txt,405000,44983392793708,44983565228375,44983565269166,172.475,172.435
GET,small_1.txt,810,44983883169583,44983883191333,44983883208625,0.039042,0.02175
PUT,xlarge_1.txt,810000,44983565204875,44983883207000,44983883285333,318.08,318.002
PUT,large_1.txt,81000,44983883182458,44983915422000,44983915444333,32.2619,32.2395
PUT,large_1.txt,81000,44983915399375,44983946961541,44983946975583,31.5762,31.5622
PUT,.DS_Store,6149,44983946934875,44983949375041,44983949382833,2.44796,2.44017
PUT,medium_1.txt,8100,44983949348166,44983952548125,44983952555583,3.20742,3.19996
PUT,medium_1.txt,8100,44983952521625,44983955725916,44983955733333,3.21171,3.20429
PUT,large_3.txt,405000,44983955701666,44984114551666,44984114693916,158.992,158.85
GET,large_3.txt,405000,44984114528750,44984114880958,44984116595708,2.06696,0.352208
PUT,medium_3.txt,40500,44984114874166,44984132860208,44984132888708,18.0145,17.986
GET,small_3.txt,4050,44984132905541,44984132924250,44984132949416,0.043875,0.018709
GET,small_3.txt,4050,44984132836833,44984132859791,44984132971583,0.13475,0.022958
GET,medium_2.txt,16200,44984132884875,44984132924708,44984133036333,0.151458,0.039833
PUT,large_3.txt,405000,44984132922541,44984311590458,44984311628625,178.706,178.668
PUT,small_1.txt,810,44984311566958,44984311949500,44984311955458,0.3885,0.382542
GET,small_1.txt,810,44984311926000,44984311964125,44984311972458,0.046458,0.038125
PUT,medium_1.txt,8100,44984311937541,44984315219541,44984315226250,3.28871,3.282
GET,small.txt,42,44984474325416,44984474351041,44984474483583,0.158167,0.025625
PUT,large_3.txt,405000,44984315196000,44984474353916,44984474530583,159.335,159.158
GET,large_3.txt,405000,44984474334791,44984474688458,44984476118083,1.78329,0.353667
PUT,medium_1.txt,8100,44984474665833,44984478403083,44984478410333,3.7445,3.73725
PUT,medium_2.txt,16200,44984478376916,44984485627291,44984485635208,7.25829,7.25038
PUT,small_2.txt,1620,44984485603833,44984486364541,44984486371458,0.767625,0.760708
PUT,large_1.txt,81000,44984486342541,44984522154291,44984522171458,35.8289,35.8118
GET,medium_3.txt,40500,44984522131291,44984522173833,44984522272625,0.141334,0.042542
PUT,small_1.txt,810,44984522167291,44984522575333,44984522582750,0.415459,0.408042
PUT,small_1.txt,810,44984522568625,44984522956458,44984522964125,0.3955,0.387833
GET,large_1.txt,81000,44984522950166,44984523033250,44984523318791,0.368625,0.083084
PUT,medium_2.txt,16200,44984523021791,44984530508375,44984530548541,7.52675,7.48658
