request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,.DS_Store,6149,45241661438250,45241662297416,45241662823041,1.38479,0.859166
GET,medium_2.txt,16200,45241662226791,45241662866041,45241663210000,0.983209,0.63925
PUT,small_1.txt,810,45241662322166,45241665160833,45241665245708,2.92354,2.83867
GET,small_1.txt,810,45241664401583,45241665332250,45241665443166,1.04158,0.930667
PUT,medium_3.txt,40500,45241664817500,45241708869208,45241708887208,44.0697,44.0517
GET,xlarge_1.txt,810000,45241658899458,45241661420166,45241711501000,52.6015,2.52071
PUT,xlarge_1.txt,810000,45241708868750,45242071728375,45242071898041,363.029,362.86
PUT,xlarge_1.txt,810000,45242071706041,45242391682458,45242391782083,320.076,319.976
GET,small_2.txt,1620,45242391660750,45242391706500,45242391823375,0.162625,0.04575
PUT,small_1.txt,810,45242391681000,45242392098833,45242392126791,0.445791,0.417833
GET,medium_1.txt,8100,45242392072208,45242392100500,45242392216250,0.144042,0.028292
GET,large_1.txt,81000,45242392095458,45242392232541,45242392534500,0.439042,0.137083
PUT,medium_2.txt,16200,45242392808333,45242401694375,45242401707250,8.89892,8.88604
GET,xlarge_1.txt,810000,45242392233291,45242392816291,45242408840375,16.6071,0.583
PUT,large_1.txt,81000,45242401688416,45242438806583,45242438838125,37.1497,37.1182
PUT,medium_1.txt,8100,45242438784083,45242442444375,45242442454083,3.67,3.66029
PUT,small_1.txt,810,45242442417833,45242442810541,45242442818500,0.400667,0.392708
PUT,medium_3.txt,40500,45242442810625,45242461095916,45242461241375,18.4307,18.2853
PUT,small_1.txt,810,45242461426708,45242461861125,45242462187291,0.760583,0.434417
GET,large_3.txt,405000,45242461074208,45242461448750,45242462853916,1.77971,0.374542
PUT,small_1.txt,810,45242462548125,45242462974625,45242463265416,0.717291,0.4265
GET,medium_3.txt,40500,45242462947958,45242463303458,45242463747666,0.799708,0.3555
PUT,small_2.txt,1620,45242463304666,45242464304125,45242464309500,1.00483,0.999459
GET,.DS_Store,6149,45242474051583,45242474094916,45242474112916,0.061333,0.043333
GET,xlarge_1.txt,810000,45242461844583,45242462556000,45242506652083,44.8075,0.711417
PUT,large_3.txt,405000,45242481952000,45242678669916,45242678790916,196.839,196.718
PUT,small_3.txt,4050,45242678619416,45242680508208,45242680561708,1.94229,1.88879
PUT,xlarge_1.txt,810000,45242680492875,45243039182458,45243039271083,358.778,358.69
PUT,small_3.txt,4050,45243039162166,45243040859083,45243040866625,1.70446,1.69692
PUT,medium_1.txt,8100,45243040834791,45243044118458,45243044172583,3.33779,3.28367
PUT,small.txt,42,45243044205500,45243044247750,45243044418125,0.212625,0.04225
GET,large_2.txt,162000,45243044096750,45243044229166,45243044864750,0.768,0.132416
GET,large_3.txt,405000,45243044239791,45243044606916,45243045944291,1.7045,0.367125
PUT,large_1.txt,81000,45243044581208,45243081219500,45243081233958,36.6527,36.6383
PUT,medium_3.txt,40500,45243081214333,45243099557875,45243099569083,18.3547,18.3435
GET,medium_3.txt,40500,45243099553000,45243099599166,45243099732791,0.179791,0.046166
PUT,large_3.txt,405000,45243099592291,45243275162416,45243275487958,175.896,175.57
GET,small_1.txt,810,45243275141000,45243275165625,45243275525416,0.384416,0.024625
GET,small.txt,42,45243275858083,45243275880791,45243276230458,0.372375,0.022708
GET,large_3.txt,405000,45243275869666,45243276168000,45243278027458,2.15779,0.298334
GET,xlarge_1.txt,810000,45243275151916,45243275880000,45243291348875,16.197,0.728084
PUT,large_1.txt,81000,45243276150000,45243313196791,45243313213375,37.0634,37.0468
GET,large_1.txt,81000,45243313190916,45243313269125,45243313545625,0.354709,0.078209
GET,medium_3.txt,40500,45243313268791,45243313396458,45243313759291,0.4905,0.127667
GET,medium_2.txt,16200,45243315780958,45243316424958,45243316579708,0.79875,0.644
PUT,small_1.txt,810,45243326347208,45243327627875,45243327644208,1.297,1.28067
GET,xlarge_1.txt,810000,45243313874250,45243315767291,45243410395916,96.5217,1.89304
GET,xlarge_1.txt,810000,45243313370916,45243313881416,45243444123750,130.753,0.5105
PUT,xlarge_1.txt,810000,45243354608166,45243854631208,45243854725458,500.117,500.023
GET,small_3.txt,4050,45243854623541,45243854782041,45243854858958,0.235417,0.1585
PUT,small_1.txt,810,45243855279125,45243855810833,45243855816916,0.537791,0.531708
GET,large_2.txt,162000,45243854789166,45243855284250,45243856303416,1.51425,0.495084
PUT,small.txt,42,45243867047708,45243867151458,45243867164625,0.116917,0.10375
PUT,xlarge_1.txt,810000,45243876412791,45244362984416,45244363173291,486.76,486.572
PUT,large_2.txt,162000,45244362963666,45244436909791,45244436984000,74.0203,73.9461
PUT,large_3.txt,405000,45244436888500,45244617119166,45244617167916,180.279,180.231
PUT,large_3.txt,405000,45244617098083,45244780282500,45244780319833,163.222,163.184
GET,.DS_Store,6149,45244780257375,45244780298708,45244780361125,0.10375,0.041333
PUT,medium_3.txt,40500,45244780268458,45244796938541,45244797016250,16.7478,16.6701
GET,small_3.txt,4050,45244796917041,45244796941833,45244797055833,0.138792,0.024792
GET,.DS_Store,6149,45244797040916,45244797140750,45244797151625,0.110709,0.099834
GET,large_2.txt,162000,45244796928875,45244797045291,45244797564291,0.635416,0.116416
GET,medium_2.txt,16200,45244797246916,45244797277541,45244797706250,0.459334,0.030625
GET,small.txt,42,45244797269625,45244797572791,45244797595875,0.32625,0.303166
GET,large_2.txt,162000,45244797136166,45244797258458,45244798596958,1.46079,0.122292
PUT,small_3.txt,4050,45244797614708,45244802969958,45244803007666,5.39296,5.35525
GET,medium_2.txt,16200,45244809693250,45244809731541,45244809787916,0.094666,0.038291
PUT,small_3.txt,4050,45244810377250,45244815396166,45244815417875,5.04063,5.01892
GET,.DS_Store,6149,45244815699083,45244815728041,45244815752000,0.052917,0.028958
PUT,small_2.txt,1620,45244818731958,45244820822666,45244820835625,2.10367,2.09071
GET,medium_1.txt,8100,45244821590750,45244821645583,45244821713125,0.122375,0.054833
GET,small.txt,42,45244828088500,45244828127166,45244828141416,0.052916,0.038666
PUT,small_1.txt,810,45244833594500,45244834651708,45244834664000,1.0695,1.05721
PUT,medium_3.txt,40500,45244841552041,45244860723833,45244860734416,19.1824,19.1718
GET,small_3.txt,4050,45244860736125,45244860763916,45244860896708,0.160583,0.027791
GET,small_1.txt,810,45244860719625,45244860763416,45244860919541,0.199916,0.043791
GET,medium_2.txt,16200,45244861071250,45244861102333,45244861625166,0.553916,0.031083
GET,large_3.txt,405000,45244860751000,45244861087416,45244863208166,2.45717,0.336416
PUT,small_1.txt,810,45244872043625,45244873059458,45244873073041,1.02942,1.01583
GET,xlarge_1.txt,810000,45244861094791,45244862110916,45244928459375,67.3646,1.01612
PUT,large_1.txt,81000,45244886055750,45244944603208,45244944642541,58.5868,58.5475
PUT,xlarge_1.txt,810000,45244944596666,45245325673083,45245325778416,381.182,381.076
PUT,small.txt,42,45245325654208,45245325697833,45245325787958,0.13375,0.043625
PUT,medium_1.txt,8100,45245325690541,45245329313375,45245329327041,3.6365,3.62283
GET,small_2.txt,1620,45245329286791,45245329315916,45245329342041,0.05525,0.029125
GET,.DS_Store,6149,45245329299375,45245329342875,45245329353875,0.0545,0.0435
PUT,small_1.txt,810,45245329311708,45245329731750,45245329766416,0.454708,0.420042
GET,medium_3.txt,40500,45245329715541,45245329751458,45245329905375,0.189834,0.035917
GET,medium_2.txt,16200,45245338689708,45245338736500,45245338779583,0.089875,0.046792
PUT,medium_1.txt,8100,45245338879208,45245343807708,45245343834083,4.95488,4.9285
GET,small_2.txt,1620,45245343790416,45245343811166,45245343922125,0.131709,0.02075
GET,small_3.txt,4050,45245343806541,45245343889458,45245343934458,0.127917,0.082917
PUT,large_3.txt,405000,45245343886666,45245519745375,45245519787875,175.901,175.859
PUT,medium_2.txt,16200,45245519724166,45245526240375,45245526330125,6.60596,6.51621
GET,large_3.txt,405000,45245526215500,45245526518208,45245528098583,1.88308,0.302708
PUT,small_3.txt,4050,45245526496875,45245528433541,45245528442458,1.94558,1.93667
PUT,small_2.txt,1620,45245528410208,45245529168708,45245529175583,0.765375,0.7585
PUT,small_3.txt,4050,45245529142791,45245530967250,45245530974083,1.83129,1.82446
PUT,small_2.txt,1620,45245530941791,45245531687375,45245531695458,0.753667,0.745584
GET,small_3.txt,4050,45245531674458,45245531698333,45245531712166,0.037708,0.023875
GET,large_3.txt,405000,45245532670708,45245533035583,45245534583250,1.91254,0.364875
GET,small_2.txt,1620,45245537761541,45245537825708,45245537835416,0.073875,0.064167
PUT,small.txt,42,45245541211916,45245541305375,45245541314958,0.103042,0.093459
PUT,small_3.txt,4050,45245541308416,45245543175208,45245543180791,1.87237,1.86679
GET,small_2.txt,1620,45245543718375,45245543738875,45245543750583,0.032208,0.0205
GET,medium_1.txt,8100,45245543741708,45245543759666,45245543780791,0.039083,0.017958
GET,small_1.txt,810,45245546101291,45245546129666,45245546137750,0.036459,0.028375
PUT,medium_3.txt,40500,45245551769166,45245570578833,45245570590208,18.821,18.8097
