request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_3.txt,4050,45269032179541,45269032552625,45269032769625,0.590084,0.373084
GET,small_1.txt,810,45269032283958,45269032731458,45269033360166,1.07621,0.4475
GET,.DS_Store,6149,45269032422375,45269033412833,45269033539250,1.11688,0.990458
GET,medium_2.txt,16200,45269032336291,45269032839375,45269033551583,1.21529,0.503084
GET,small_3.txt,4050,45269032471958,45269033578208,45269033858458,1.3865,1.10625
PUT,medium_1.txt,8100,45269032520000,45269049420875,45269049447291,16.9273,16.9009
PUT,.DS_Store,6149,45269049425791,45269057428708,45269057445041,8.01925,8.00292
PUT,large_3.txt,405000,45269057419541,45269239065583,45269239258875,181.839,181.646
PUT,small_1.txt,810,45269239262083,45269239730125,45269239741458,0.479375,0.468042
GET,.DS_Store,6149,45269239724041,45269239751750,45269239761500,0.037459,0.027709
GET,small_2.txt,1620,45269240213583,45269241068708,45269241187625,0.974042,0.855125
GET,large_1.txt,81000,45269239743916,45269239821916,45269242056833,2.31292,0.078
GET,large_2.txt,162000,45269239051916,45269239285958,45269244209541,5.15763,0.234042
GET,large_2.txt,162000,45269240086125,45269240245166,45269245985125,5.899,0.159041
GET,large_3.txt,405000,45269239807000,45269240102083,45269251561208,11.7542,0.295083
PUT,small_1.txt,810,45269252611291,45269253763333,45269253791833,1.18054,1.15204
GET,large_1.txt,81000,45269252088791,45269252266166,45269254558708,2.46992,0.177375
GET,small_2.txt,1620,45269266459166,45269266491750,45269266792500,0.333334,0.032584
GET,large_3.txt,405000,45269263180916,45269263838791,45269273269041,10.0881,0.657875
GET,medium_3.txt,40500,45269274108291,45269274199958,45269275375458,1.26717,0.091667
PUT,medium_1.txt,8100,45269288831083,45269298084125,45269298098041,9.26696,9.25304
GET,large_3.txt,405000,45269308784291,45269309471291,45269319333250,10.549,0.687
PUT,large_2.txt,162000,45269526004208,45269651125791,45269651202916,125.199,125.122
PUT,small.txt,42,45269664337333,45269664425500,45269664439750,0.102417,0.088167
GET,large_3.txt,405000,45269677151750,45269677882666,45269687502458,10.3507,0.730916
PUT,medium_3.txt,40500,45269700629916,45269737552250,45269737586875,36.957,36.9223
GET,medium_1.txt,8100,45269750453166,45269750502125,45269750730833,0.277667,0.048959
GET,xlarge_1.txt,810000,45269688984666,45269690387291,45269795547666,106.563,1.40263
GET,medium_3.txt,40500,45269814416583,45269814526166,45269815701458,1.28487,0.109583
GET,.DS_Store,6149,45270071455583,45270071493375,45270071510958,0.055375,0.037792
GET,large_1.txt,81000,45270122029333,45270122207666,45270124300583,2.27125,0.178333
GET,large_3.txt,405000,45270115525583,45270116248333,45270126299625,10.774,0.72275
GET,medium_1.txt,8100,45270136903333,45270136953500,45270137387041,0.483708,0.050167
GET,.DS_Store,6149,45270196920166,45270196953375,45270196970625,0.050459,0.033209
GET,medium_2.txt,16200,45270243804125,45270243866833,45270244281333,0.477208,0.062708
GET,medium_3.txt,40500,45270348452958,45270348581083,45270349772041,1.31908,0.128125
PUT,large_3.txt,405000,45270588844791,45270880112875,45270880235583,291.391,291.268
PUT,.DS_Store,6149,45270880127208,45270887212000,45270887218750,7.09154,7.08479
GET,small_2.txt,1620,45270893595375,45270893647500,45270893940041,0.344666,0.052125
PUT,.DS_Store,6149,45270900060208,45270907379458,45270907391541,7.33133,7.31925
GET,small_2.txt,1620,45270915744708,45270915785375,45270915851625,0.106917,0.040667
PUT,medium_1.txt,8100,45270921322875,45270930982291,45270931021250,9.69838,9.65942
GET,medium_1.txt,8100,45270937809541,45270937863625,45270938131041,0.3215,0.054084
PUT,small.txt,42,45270942499291,45270942591333,45270942603833,0.104542,0.092042
PUT,medium_2.txt,16200,45270956789083,45270971874875,45270971882250,15.0932,15.0858
GET,medium_3.txt,40500,45270984657125,45270984761583,45270985984583,1.32746,0.104458
GET,xlarge_1.txt,810000,45270991664000,45270993125250,45271099574541,107.911,1.46125
PUT,small_3.txt,4050,45271226431958,45271231184416,45271231219875,4.78792,4.75246
GET,small_3.txt,4050,45271245203625,45271245231416,45271245380500,0.176875,0.027791
PUT,small_1.txt,810,45271278680125,45271279722625,45271279757416,1.07729,1.0425
GET,medium_3.txt,40500,45271292457916,45271292571875,45271293847708,1.38979,0.113959
GET,.DS_Store,6149,45271358838750,45271358883083,45271358900625,0.061875,0.044333
PUT,small_1.txt,810,45271395315791,45271396334375,45271396348375,1.03258,1.01858
GET,large_1.txt,81000,45271408005083,45271408190125,45271410416208,2.41113,0.185042
PUT,medium_1.txt,8100,45271411642958,45271422019500,45271422054000,10.411,10.3765
PUT,small.txt,42,45271434366791,45271434457708,45271434471541,0.10475,0.090917
PUT,large_2.txt,162000,45271445605833,45271553484375,45271553522166,107.916,107.879
GET,medium_3.txt,40500,45271553480500,45271553691333,45271554980000,1.4995,0.210833
GET,small_2.txt,1620,45271568564916,45271568684375,45271568747833,0.182917,0.119459
GET,small_3.txt,4050,45271590041875,45271590109041,45271590462750,0.420875,0.067166
GET,large_1.txt,81000,45271625909125,45271626076375,45271629053666,3.14454,0.16725
GET,xlarge_1.txt,810000,45271553697750,45271555176458,45271657201666,103.504,1.47871
GET,.DS_Store,6149,45271736349500,45271736432458,45271736453666,0.104166,0.082958
GET,medium_2.txt,16200,45271777825250,45271777896583,45271778569000,0.74375,0.071333
GET,large_1.txt,81000,45271783763458,45271783927458,45271785829541,2.06608,0.164
PUT,small_2.txt,1620,45271793209833,45271795568208,45271795602000,2.39217,2.35838
PUT,small_1.txt,810,45271808569916,45271809578500,45271809592791,1.02287,1.00858
PUT,large_1.txt,81000,45271825807291,45271898651250,45271898701333,72.894,72.844
PUT,medium_3.txt,40500,45271898646333,45271930129583,45271930191000,31.5447,31.4833
GET,medium_3.txt,40500,45271930140958,45271930269791,45271931217333,1.07638,0.128833
PUT,medium_2.txt,16200,45271943907125,45271956821791,45271956829708,12.9226,12.9147
GET,large_2.txt,162000,45271968076791,45271968354583,45271972952375,4.87558,0.277792
GET,medium_3.txt,40500,45272047575333,45272047675375,45272048921875,1.34654,0.100042
PUT,medium_3.txt,40500,45272098934041,45272131179875,45272131219250,32.2852,32.2458
GET,large_2.txt,162000,45272168230625,45272168533875,45272172286666,4.05604,0.30325
PUT,medium_3.txt,40500,45272206862500,45272238968625,45272238994708,32.1322,32.1061
GET,xlarge_1.txt,810000,45272144031958,45272145444916,45272243245541,99.2136,1.41296
GET,large_2.txt,162000,45272251451625,45272251794291,45272255511125,4.0595,0.342666
GET,small.txt,42,45272268378541,45272268409583,45272268437125,0.058584,0.031042
PUT,large_2.txt,162000,45272283038458,45272415549750,45272415569166,132.531,132.511
GET,large_3.txt,405000,45272428350583,45272429056541,45272438819875,10.4693,0.705958
PUT,small_1.txt,810,45272858289083,45272859453666,45272859483000,1.19392,1.16458
PUT,large_3.txt,405000,45272879135208,45273177544291,45273177675458,298.54,298.409
GET,medium_2.txt,16200,45273177531666,45273177565125,45273178143791,0.612125,0.033459
PUT,small.txt,42,45273177558583,45273177613083,45273178152166,0.593583,0.0545
PUT,medium_1.txt,8100,45273191414791,45273201241916,45273201256583,9.84179,9.82713
PUT,large_3.txt,405000,45273201241416,45273470756541,45273470847416,269.606,269.515
PUT,small.txt,42,45273470943666,45273471364000,45273471377708,0.434042,0.420334
GET,medium_3.txt,40500,45273470756541,45273470939958,45273471924000,1.16746,0.183417
GET,large_1.txt,81000,45273483843416,45273485463375,45273487688000,3.84458,1.61996
GET,large_3.txt,405000,45273483169791,45273483840416,45273494269125,11.0993,0.670625
GET,medium_2.txt,16200,45273635672291,45273635743375,45273636376250,0.703959,0.071084
PUT,medium_3.txt,40500,45273707178500,45273739344166,45273739368916,32.1904,32.1657
GET,large_1.txt,81000,45273739339500,45273739501750,45273741365500,2.026,0.16225
PUT,medium_3.txt,40500,45273750958625,45273788453333,45273788462875,37.5042,37.4947
PUT,large_2.txt,162000,45273808018666,45273935840000,45273935885541,127.867,127.821
PUT,small_2.txt,1620,45273935835208,45273937056750,45273937068583,1.23338,1.22154
GET,small_3.txt,4050,45273948675458,45273948728458,45273949083500,0.408042,0.053
PUT,small_2.txt,1620,45273949301500,45273951789125,45273951816416,2.51492,2.48762
PUT,large_2.txt,162000,45273968933541,45274083847833,45274083905000,114.971,114.914
GET,small_1.txt,810,45274083858166,45274083905000,45274083918375,0.060209,0.046834
PUT,medium_2.txt,16200,45274097077833,45274112433041,45274112440791,15.363,15.3552
PUT,small_2.txt,1620,45274124289666,45274126382583,45274126409166,2.1195,2.09292
GET,medium_3.txt,40500,45274126389916,45274126487958,45274127475250,1.08533,0.098042
GET,medium_1.txt,8100,45274137600750,45274137649375,45274138080041,0.479291,0.048625
GET,large_3.txt,405000,45274189171500,45274189919750,45274199356958,10.1855,0.74825
PUT,medium_2.txt,16200,45274306021083,45274319265416,45274319272250,13.2512,13.2443
PUT,medium_2.txt,16200,45274326054916,45274341032833,45274341055166,15.0002,14.9779
PUT,large_1.txt,81000,45274341019958,45274388628166,45274388658166,47.6382,47.6082
PUT,.DS_Store,6149,45274388613375,45274391665208,45274391671333,3.05796,3.05183
GET,small_1.txt,810,45274401415458,45274401454458,45274401490083,0.074625,0.039
GET,large_2.txt,162000,45274423042708,45274423520875,45274427773083,4.73038,0.478167
