request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_2.txt,1620,45171745049916,45171745342166,45171745452791,0.402875,0.29225
GET,medium_2.txt,16200,45171744913375,45171745519958,45171745752666,0.839291,0.606583
GET,medium_3.txt,40500,45171744625041,45171745805833,45171746301958,1.67692,1.18079
PUT,small_1.txt,810,45171745128625,45171750349125,45171750374750,5.24613,5.2205
GET,large_1.txt,81000,45171746461541,45171750411708,45171751425916,4.96438,3.95017
PUT,small_3.txt,4050,45171746723875,45171757606416,45171757624000,10.9001,10.8825
PUT,large_2.txt,162000,45171755150583,45171857424916,45171857450625,102.3,102.274
PUT,large_3.txt,405000,45171857406250,45172017097666,45172017391000,159.985,159.691
GET,large_2.txt,162000,45172017714000,45172017834041,45172018581125,0.867125,0.120041
GET,xlarge_1.txt,810000,45172017076041,45172017735250,45172029394208,12.3182,0.659209
PUT,large_1.txt,81000,45172017811083,45172054386666,45172054402541,36.5915,36.5756
GET,small_1.txt,810,45172054381041,45172054435708,45172054528250,0.147209,0.054667
GET,large_1.txt,81000,45172054406541,45172054473958,45172054740958,0.334417,0.067417
GET,small_3.txt,4050,45172054509791,45172054559833,45172054812458,0.302667,0.050042
GET,medium_2.txt,16200,45172054475791,45172054775958,45172054820750,0.344959,0.300167
GET,large_3.txt,405000,45172054524833,45172054819083,45172057019875,2.49504,0.29425
GET,small.txt,42,45172065247041,45172065295541,45172065310083,0.063042,0.0485
GET,medium_3.txt,40500,45172071337333,45172071437333,45172071717583,0.38025,0.1
GET,medium_2.txt,16200,45172078609041,45172078682000,45172078968333,0.359292,0.072959
GET,large_3.txt,405000,45172154023000,45172154698083,45172157051625,3.02862,0.675083
GET,medium_2.txt,16200,45172180966333,45172181036458,45172181167666,0.201333,0.070125
GET,xlarge_1.txt,810000,45172085366833,45172086835791,45172189875291,104.508,1.46896
PUT,medium_2.txt,16200,45172292567083,45172307729500,45172309760125,17.193,15.1624
GET,medium_2.txt,16200,45172307724125,45172309803333,45172309965000,2.24087,2.07921
PUT,medium_1.txt,8100,45172322940791,45172333560291,45172333574458,10.6337,10.6195
GET,.DS_Store,6149,45172346320666,45172346369083,45172346458083,0.137417,0.048417
GET,small_1.txt,810,45172394061708,45172394097625,45172394122666,0.060958,0.035917
GET,medium_1.txt,8100,45172408836583,45172408890833,45172409161416,0.324833,0.05425
