request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
PUT,small_2.txt,1620,45448668045875,45448670535666,45448670557125,2.51125,2.48979
GET,small_2.txt,1620,45448670530833,45448670575333,45448670619041,0.088208,0.0445
GET,small.txt,42,45448670571375,45448670641583,45448670661500,0.090125,0.070208
PUT,small_1.txt,810,45448670653625,45448671715416,45448671733541,1.07992,1.06179
GET,large_2.txt,162000,45448671702291,45448672140791,45448673090333,1.38804,0.4385
PUT,small.txt,42,45448672678500,45448673377166,45448673390041,0.711541,0.698666
GET,large_2.txt,162000,45448672145791,45448673157041,45448674405083,2.25929,1.01125
PUT,medium_2.txt,16200,45448672773708,45448694992708,45448695016458,22.2428,22.219
PUT,small_2.txt,1620,45448694999750,45448696896833,45448696914083,1.91433,1.89708
PUT,small.txt,42,45448696890416,45448697012500,45448697024916,0.1345,0.122084
PUT,small.txt,42,45448696973208,45448697051416,45448697071250,0.098042,0.078208
PUT,medium_2.txt,16200,45448697058666,45448712269000,45448712298583,15.2399,15.2103
PUT,medium_2.txt,16200,45448712262458,45448724318666,45448724479291,12.2168,12.0562
GET,small_3.txt,4050,45448724365708,45448724502208,45448724536750,0.171042,0.1365
GET,medium_2.txt,16200,45448724300291,45448724360083,45448724578291,0.278,0.059792
PUT,medium_3.txt,40500,45448724496958,45448749577000,45448749617875,25.1209,25.08
PUT,xlarge_1.txt,810000,45448749573000,45449079712541,45449079787333,330.214,330.14
PUT,xlarge_1.txt,810000,45449079694833,45449403121791,45449403194291,323.499,323.427
GET,.DS_Store,6149,45449403101208,45449403130500,45449403462250,0.361042,0.029292
PUT,small.txt,42,45449403814625,45449403856333,45449404051625,0.237,0.041708
GET,.DS_Store,6149,45449403853375,45449404066833,45449404077250,0.223875,0.213458
GET,small.txt,42,45449404061875,45449404085166,45449404090958,0.029083,0.023291
PUT,small.txt,42,45449404079791,45449404124208,45449404130291,0.0505,0.044417
GET,medium_3.txt,40500,45449404121458,45449404178750,45449404394625,0.273167,0.057292
GET,xlarge_1.txt,810000,45449403116208,45449403836333,45449406247333,3.13112,0.720125
GET,medium_1.txt,8100,45449415818083,45449415848083,45449415864958,0.046875,0.03
PUT,medium_3.txt,40500,45449416327458,45449436732291,45449436744875,20.4174,20.4048
GET,.DS_Store,6149,45449436711083,45449436732750,45449436749666,0.038583,0.021667
PUT,large_2.txt,162000,45449436724541,45449507847625,45449507869416,71.1449,71.1231
GET,medium_2.txt,16200,45449507821666,45449507848791,45449507910958,0.089292,0.027125
PUT,medium_1.txt,8100,45449507842375,45449511700416,45449511711041,3.86867,3.85804
PUT,medium_2.txt,16200,45449511695375,45449519060958,45449519072166,7.37679,7.36558
GET,.DS_Store,6149,45449519038166,45449519061541,45449519078916,0.04075,0.023375
GET,small_2.txt,1620,45449519048708,45449519063833,45449519125333,0.076625,0.015125
PUT,small_1.txt,810,45449519060583,45449519458708,45449519464541,0.403958,0.398125
PUT,small_1.txt,810,45449520618625,45449521019166,45449521024291,0.405666,0.400541
GET,large_2.txt,162000,45449524384500,45449524507375,45449524762333,0.377833,0.122875
PUT,small.txt,42,45449527968458,45449528032541,45449528037625,0.069167,0.064083
GET,medium_1.txt,8100,45449531796083,45449531828875,45449531846125,0.050042,0.032792
