request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_1.txt,810,45476994743791,45476994949291,45476995336583,0.592792,0.2055
PUT,.DS_Store,6149,45476994796916,45477003574958,45477003615000,8.81808,8.77804
GET,medium_2.txt,16200,45477003313250,45477003710083,45477004602333,1.28908,0.396833
GET,large_3.txt,405000,45476993264791,45476994744333,45477009355583,16.0908,1.47954
PUT,small_3.txt,4050,45477003375541,45477010880833,45477010904875,7.52933,7.50529
GET,.DS_Store,6149,45477010882041,45477010928833,45477010960666,0.078625,0.046792
PUT,.DS_Store,6149,45477010921625,45477018730458,45477018751000,7.82937,7.80883
PUT,large_2.txt,162000,45477018725666,45477111050375,45477111222458,92.4968,92.3247
PUT,small.txt,42,45477111375500,45477111452625,45477111458500,0.083,0.077125
PUT,small_3.txt,4050,45477111417041,45477113690958,45477113928291,2.51125,2.27392
GET,large_3.txt,405000,45477111032708,45477111381875,45477120297208,9.2645,0.349167
GET,xlarge_1.txt,810000,45477113673666,45477114293791,45477140387250,26.7136,0.620125
PUT,xlarge_1.txt,810000,45477114286291,45477492677833,45477492794583,378.508,378.392
PUT,medium_3.txt,40500,45477492655666,45477510860583,45477510875125,18.2195,18.2049
PUT,small_1.txt,810,45477510836875,45477511241833,45477511250166,0.413291,0.404958
PUT,large_3.txt,405000,45477511219083,45477677820666,45477677903541,166.684,166.602
PUT,xlarge_1.txt,810000,45477677803208,45477998681541,45477998794916,320.992,320.878
PUT,large_2.txt,162000,45477998662083,45478063694500,45478063727583,65.0655,65.0324
PUT,small_3.txt,4050,45478063670541,45478065329166,45478065384875,1.71433,1.65863
GET,large_2.txt,162000,45478065303500,45478065447875,45478067381958,2.07846,0.144375
PUT,medium_1.txt,8100,45478065413333,45478069381041,45478069391208,3.97788,3.96771
PUT,large_3.txt,405000,45478069357500,45478238491583,45478238759166,169.402,169.134
PUT,small_1.txt,810,45478239104375,45478239541083,45478239549208,0.444833,0.436708
GET,xlarge_1.txt,810000,45478238466500,45478239128250,45478252654791,14.1883,0.66175
GET,xlarge_1.txt,810000,45478239534958,45478240106750,45478254792333,15.2574,0.571792
PUT,large_2.txt,162000,45478240100916,45478318822041,45478318840375,78.7395,78.7211
PUT,medium_1.txt,8100,45478318817333,45478322552250,45478322562083,3.74475,3.73492
GET,small.txt,42,45478322545541,45478322579166,45478322589958,0.044417,0.033625
GET,small.txt,42,45478322563333,45478322588833,45478322619666,0.056333,0.0255
PUT,small_1.txt,810,45478322577958,45478322986750,45478322993958,0.416,0.408792
PUT,large_3.txt,405000,45478322980708,45478508582500,45478508625083,185.644,185.602
GET,small.txt,42,45478508695791,45478508795208,45478508807333,0.111542,0.099417
GET,medium_2.txt,16200,45478508755833,45478508859291,45478509175083,0.41925,0.103458
GET,medium_2.txt,16200,45478508667875,45478508720625,45478509398875,0.731,0.05275
GET,medium_3.txt,40500,45478508578166,45478508708958,45478510639833,2.06167,0.130792
GET,medium_3.txt,40500,45478508707541,45478508812291,45478510779041,2.0715,0.10475
GET,small_3.txt,4050,45478521833125,45478522044708,45478522195000,0.361875,0.211583
PUT,small_1.txt,810,45478521943375,45478523124250,45478523136666,1.19329,1.18087
PUT,small_3.txt,4050,45478535611916,45478540397958,45478540412458,4.80054,4.78604
GET,.DS_Store,6149,45478553161583,45478553200333,45478553226500,0.064917,0.03875
PUT,.DS_Store,6149,45478555551916,45478562856333,45478562887666,7.33575,7.30442
PUT,small.txt,42,45478574626500,45478574724791,45478574751708,0.125208,0.098291
GET,medium_2.txt,16200,45478587411666,45478587470541,45478587875625,0.463959,0.058875
GET,small_3.txt,4050,45478592897916,45478592935583,45478593072333,0.174417,0.037667
PUT,medium_2.txt,16200,45478599607166,45478615819458,45478615874541,16.2674,16.2123
GET,small.txt,42,45478804142416,45478804163958,45478804182416,0.04,0.021542
PUT,large_3.txt,405000,45478615812875,45478804163916,45478804206458,188.394,188.351
PUT,.DS_Store,6149,45478804156625,45478806760416,45478806767083,2.61046,2.60379
GET,small_1.txt,810,45478971889125,45478971928958,45478971947291,0.058166,0.039833
PUT,large_3.txt,405000,45478806738125,45478971912250,45478971953166,165.215,165.174
PUT,medium_3.txt,40500,45478971900291,45478988445875,45478988459500,16.5592,16.5456
PUT,small_2.txt,1620,45478988422958,45478989166000,45478989172041,0.749083,0.743042
GET,medium_2.txt,16200,45478989142208,45478989169916,45478989327125,0.184917,0.027708
PUT,small_3.txt,4050,45478989163416,45478991086833,45478991094250,1.93083,1.92342
GET,medium_1.txt,8100,45478991081000,45478991102625,45478991184458,0.103458,0.021625
PUT,xlarge_1.txt,810000,45478991098208,45479320346916,45479320415166,329.317,329.249
PUT,medium_1.txt,8100,45479320332708,45479323681916,45479323689500,3.35679,3.34921
PUT,xlarge_1.txt,810000,45479323666416,45479653008750,45479653155375,329.489,329.342
GET,medium_3.txt,40500,45479652994500,45479653102666,45479653751750,0.75725,0.108166
PUT,small_3.txt,4050,45479653069125,45479655137583,45479655193416,2.12429,2.06846
GET,large_1.txt,81000,45479655117791,45479655211208,45479657164000,2.04621,0.093417
GET,large_1.txt,81000,45479655211791,45479655296500,45479659054208,3.84242,0.084709
GET,large_3.txt,405000,45479655653958,45479655980333,45479672636458,16.9825,0.326375
PUT,medium_2.txt,16200,45479655974875,45479673962500,45479673982208,18.0073,17.9876
PUT,small.txt,42,45479673959583,45479675774250,45479675788458,1.82888,1.81467
GET,large_3.txt,405000,45479655284166,45479655661500,45479677820125,22.536,0.377334
PUT,xlarge_1.txt,810000,45479674024500,45480085451958,45480085585583,411.561,411.427
GET,large_2.txt,162000,45480085429750,45480085615333,45480087464750,2.035,0.185583
PUT,xlarge_1.txt,810000,45480085591750,45480419140958,45480419209708,333.618,333.549
PUT,large_2.txt,162000,45480419127291,45480484470666,45480484491333,65.364,65.3434
PUT,medium_3.txt,40500,45480484455083,45480500777041,45480500786791,16.3317,16.322
GET,small_3.txt,4050,45480500760750,45480500800208,45480500848541,0.087791,0.039458
PUT,large_3.txt,405000,45480500777625,45480663807833,45480663846750,163.069,163.03
PUT,small_2.txt,1620,45480663793500,45480664509625,45480664545083,0.751583,0.716125
GET,large_1.txt,81000,45480664642041,45480664719916,45480666357708,1.71567,0.077875
GET,large_1.txt,81000,45480664497958,45480664561208,45480667946166,3.44821,0.06325
PUT,small_3.txt,4050,45480664805791,45480669247791,45480669268208,4.46242,4.442
GET,small.txt,42,45480669232208,45480669255250,45480669283666,0.051458,0.023042
GET,large_2.txt,162000,45480664687833,45480664824250,45480670243791,5.55596,0.136417
GET,large_2.txt,162000,45480664556291,45480664647833,45480670879125,6.32283,0.091542
GET,medium_2.txt,16200,45480676758666,45480676842166,45480677316166,0.5575,0.0835
PUT,large_1.txt,81000,45480677643500,45480736373916,45480736721000,59.0775,58.7304
GET,small_2.txt,1620,45480736371041,45480736722125,45480736774208,0.403167,0.351084
PUT,xlarge_1.txt,810000,45480736780958,45481107089166,45481107165875,370.385,370.308
PUT,medium_1.txt,8100,45481107068125,45481110515250,45481110523291,3.45517,3.44713
GET,small_2.txt,1620,45481110499250,45481110535125,45481110558541,0.059291,0.035875
PUT,xlarge_1.txt,810000,45481110510708,45481436215791,45481436280250,325.77,325.705
PUT,medium_1.txt,8100,45481436195958,45481439498208,45481439509666,3.31371,3.30225
GET,small_2.txt,1620,45481439476125,45481439515083,45481439535666,0.059541,0.038958
PUT,large_2.txt,162000,45481439490291,45481504339541,45481504360500,64.8702,64.8492
PUT,small.txt,42,45481504379583,45481504431125,45481504440333,0.06075,0.051542
GET,medium_3.txt,40500,45481504318291,45481504357250,45481504879125,0.560834,0.038959
GET,small_2.txt,1620,45481505001208,45481505024625,45481505049375,0.048167,0.023417
PUT,medium_2.txt,16200,45481505014708,45481513724250,45481513737625,8.72292,8.70954
GET,.DS_Store,6149,45481513742041,45481513767333,45481513776666,0.034625,0.025292
GET,small_3.txt,4050,45481513718583,45481513753291,45481513838250,0.119667,0.034708
GET,.DS_Store,6149,45481517246583,45481517296458,45481517324625,0.078042,0.049875
GET,.DS_Store,6149,45481517295583,45481517326583,45481517359500,0.063917,0.031
GET,large_1.txt,81000,45481517324166,45481517498166,45481519494750,2.17058,0.174
GET,small.txt,42,45481526420791,45481526464625,45481526483791,0.063,0.043834
GET,xlarge_1.txt,810000,45481504425500,45481505024000,45481538889041,34.4635,0.5985
PUT,medium_3.txt,40500,45481537827916,45481557885500,45481557895791,20.0679,20.0576
PUT,large_2.txt,162000,45481557883625,45481629547708,45481629564666,71.681,71.6641
GET,small_2.txt,1620,45481629525125,45481629547958,45481629574041,0.048916,0.022833
PUT,small.txt,42,45481629537875,45481629577375,45481629582291,0.044416,0.0395
GET,large_3.txt,405000,45481629574000,45481629869958,45481634500791,4.92679,0.295958
PUT,large_2.txt,162000,45481629859875,45481704051291,45481704070750,74.2109,74.1914
GET,small_3.txt,4050,45481704045666,45481704102000,45481704317583,0.271917,0.056334
PUT,large_1.txt,81000,45481704085875,45481740831000,45481740847208,36.7613,36.7451
PUT,medium_2.txt,16200,45481740825875,45481749335458,45481749346500,8.52063,8.50958
PUT,small_3.txt,4050,45481749329833,45481751184583,45481751194708,1.86488,1.85475
PUT,medium_3.txt,40500,45481751178708,45481769667875,45481769681541,18.5028,18.4892
