request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
PUT,small_2.txt,1620,45503598534583,45503600622083,45503600645791,2.11121,2.0875
GET,small.txt,42,45503600625208,45503600672791,45503600761583,0.136375,0.047583
PUT,medium_2.txt,16200,45503600658500,45503623670333,45503623702458,23.044,23.0118
GET,small_3.txt,4050,45503623687750,45503623744291,45503623830375,0.142625,0.056541
PUT,small.txt,42,45503623728333,45503623827416,45503623906666,0.178333,0.099083
GET,medium_3.txt,40500,45503623822041,45503623959958,45503624128833,0.306792,0.137917
GET,xlarge_1.txt,810000,45503595111083,45503598515708,45503624593833,29.4827,3.40462
PUT,medium_1.txt,8100,45503623968541,45503632818291,45503632833416,8.86487,8.84975
GET,medium_2.txt,16200,45503632812375,45503632859541,45503632909666,0.097291,0.047166
PUT,medium_2.txt,16200,45503635480250,45503654886000,45503655305583,19.8253,19.4058
GET,small_1.txt,810,45503654878958,45503655322291,45503655388916,0.509958,0.443333
GET,small_3.txt,4050,45503656696750,45503657245041,45503657274375,0.577625,0.548291
GET,small_1.txt,810,45503668409833,45503668444041,45503668513000,0.103167,0.034208
PUT,small_3.txt,4050,45503676964291,45503680299708,45503680306458,3.34217,3.33542
GET,xlarge_1.txt,810000,45503632855333,45503633983125,45503684606416,51.7511,1.12779
GET,large_1.txt,81000,45503686252166,45503686403208,45503686565375,0.313209,0.151042
PUT,small_2.txt,1620,45503690543000,45503693157083,45503693171333,2.62833,2.61408
GET,large_1.txt,81000,45503693069000,45503693245875,45503693805500,0.7365,0.176875
PUT,small_1.txt,810,45503693248458,45503694292125,45503694304916,1.05646,1.04367
PUT,small.txt,42,45503703682666,45503703799875,45503703813208,0.130542,0.117209
PUT,small.txt,42,45503707023875,45503707167708,45503707180166,0.156291,0.143833
GET,xlarge_1.txt,810000,45503655317750,45503656705291,45503727652291,72.3345,1.38754
PUT,medium_3.txt,40500,45503715752166,45503748789791,45503748814666,33.0625,33.0376
PUT,medium_3.txt,40500,45503748796458,45503781061291,45503781086083,32.2896,32.2648
PUT,medium_1.txt,8100,45503781059125,45503790099916,45503790133000,9.07387,9.04079
PUT,medium_3.txt,40500,45503790086375,45503817580416,45503817611791,27.5254,27.494
PUT,small_1.txt,810,45503817586083,45503818754583,45503818770041,1.18396,1.1685
PUT,small_3.txt,4050,45503818745916,45503823958208,45503823983041,5.23712,5.21229
GET,large_1.txt,81000,45503830380791,45503830542333,45503830781500,0.400709,0.161542
GET,large_2.txt,162000,45503831431916,45503831709166,45503832568166,1.13625,0.27725
GET,.DS_Store,6149,45503836843791,45503836870875,45503836900208,0.056417,0.027084
GET,large_1.txt,81000,45503887639375,45503887805625,45503888074125,0.43475,0.16625
PUT,large_1.txt,81000,45504029963250,45504102111333,45504102166750,72.2035,72.1481
PUT,small_2.txt,1620,45504102104791,45504103713333,45504103741458,1.63667,1.60854
GET,small.txt,42,45504119933375,45504120146916,45504120264500,0.331125,0.213541
PUT,small_3.txt,4050,45504115667125,45504120284791,45504120297458,4.63033,4.61767
GET,large_3.txt,405000,45504133053791,45504133835083,45504135231833,2.17804,0.781292
PUT,medium_1.txt,8100,45504134270791,45504145297250,45504145363500,11.0927,11.0265
GET,medium_2.txt,16200,45504158125208,45504158213083,45504158284583,0.159375,0.087875
GET,medium_2.txt,16200,45504240177666,45504240247541,45504240324166,0.1465,0.069875
GET,small_3.txt,4050,45504260238958,45504260293250,45504260362000,0.123042,0.054292
GET,small_2.txt,1620,45504291031416,45504291068666,45504291148791,0.117375,0.03725
GET,large_1.txt,81000,45504297914791,45504298080416,45504298628000,0.713209,0.165625
GET,small_3.txt,4050,45504311503958,45504311541791,45504311612083,0.108125,0.037833
GET,large_3.txt,405000,45504338278083,45504338943166,45504340572833,2.29475,0.665083
GET,small_1.txt,810,45504346984958,45504347039708,45504347101833,0.116875,0.05475
GET,small.txt,42,45504365155291,45504365201916,45504365219000,0.063709,0.046625
PUT,small.txt,42,45504379093666,45504379194083,45504379208041,0.114375,0.100417
PUT,medium_1.txt,8100,45504391364125,45504403017916,45504403049750,11.6856,11.6538
GET,large_2.txt,162000,45504415831333,45504416161875,45504417004916,1.17358,0.330542
PUT,small_1.txt,810,45504664140166,45504665189625,45504665219208,1.07904,1.04946
PUT,small.txt,42,45504676224083,45504676325000,45504676339166,0.115083,0.100917
PUT,xlarge_1.txt,810000,45504701796083,45505267064500,45505267280708,565.485,565.268
PUT,.DS_Store,6149,45505266980375,45505271410125,45505271429708,4.44933,4.42975
PUT,small_1.txt,810,45505271403875,45505272443958,45505272456916,1.05304,1.04008
GET,.DS_Store,6149,45505295534500,45505295550541,45505295588833,0.054333,0.016041
PUT,medium_2.txt,16200,45505280733708,45505295554708,45505295611000,14.8773,14.821
PUT,medium_1.txt,8100,45505295547916,45505303844166,45505303851666,8.30375,8.29625
PUT,small_1.txt,810,45505308644250,45505309681375,45505309694583,1.05033,1.03713
PUT,large_2.txt,162000,45505318418208,45505428165958,45505428239500,109.821,109.748
GET,small.txt,42,45505428471000,45505428695458,45505428753083,0.282083,0.224458
GET,small_1.txt,810,45505428154958,45505428243750,45505428435666,0.280708,0.088792
GET,small_3.txt,4050,45505440779583,45505440823375,45505440853208,0.073625,0.043792
GET,small_3.txt,4050,45505441445666,45505441482583,45505441513333,0.067667,0.036917
GET,medium_1.txt,8100,45505445643750,45505445701208,45505445771708,0.127958,0.057458
PUT,small_3.txt,4050,45505473962375,45505479345500,45505479384500,5.42213,5.38312
PUT,small.txt,42,45505479362916,45505479488875,45505479503750,0.140834,0.125959
GET,small.txt,42,45505594268333,45505594283750,45505594357208,0.088875,0.015417
PUT,large_2.txt,162000,45505491671625,45505594287791,45505594365833,102.694,102.616
PUT,large_1.txt,81000,45505594280583,45505646086625,45505646174291,51.8937,51.806
GET,large_2.txt,162000,45505646066083,45505646359000,45505646884541,0.818458,0.292917
PUT,large_3.txt,405000,45505646191333,45505917283666,45505917387166,271.196,271.092
PUT,large_3.txt,405000,45505917294750,45506117760916,45506117808541,200.514,200.466
GET,.DS_Store,6149,45506117762166,45506117834791,45506117847041,0.084875,0.072625
PUT,small.txt,42,45506117810791,45506117875166,45506117881250,0.070459,0.064375
PUT,large_1.txt,81000,45506117845208,45506150509375,45506150523083,32.6779,32.6642
PUT,medium_1.txt,8100,45506150488458,45506153823333,45506153830250,3.34179,3.33487
GET,small_3.txt,4050,45506157036416,45506157058416,45506157071000,0.034584,0.022
PUT,medium_1.txt,8100,45506153798541,45506157076208,45506157083000,3.28446,3.27767
PUT,small_3.txt,4050,45506157051541,45506158907375,45506159154500,2.10296,1.85583
PUT,medium_2.txt,16200,45506159462708,45506166774416,45506166783250,7.32054,7.31171
GET,.DS_Store,6149,45506166750750,45506166773500,45506166787208,0.036458,0.02275
PUT,small_3.txt,4050,45506166764500,45506168644708,45506168650833,1.88633,1.88021
GET,medium_1.txt,8100,45506169908750,45506169938041,45506169955916,0.047166,0.029291
GET,xlarge_1.txt,810000,45506158881166,45506159483750,45506170291875,11.4107,0.602584
GET,.DS_Store,6149,45506171608875,45506171620875,45506171628666,0.019791,0.012
GET,small_2.txt,1620,45506529931875,45506529951583,45506529970625,0.03875,0.019708
GET,small_3.txt,4050,45506529948500,45506529972375,45506529994583,0.046083,0.023875
PUT,xlarge_1.txt,810000,45506172702500,45506529973375,45506530054208,357.352,357.271
PUT,xlarge_1.txt,810000,45506529961333,45506853303791,45506853373958,323.413,323.342
GET,medium_2.txt,16200,45506853283666,45506853320000,45506853479166,0.1955,0.036334
GET,medium_1.txt,8100,45506853309208,45506853432625,45506853525041,0.215833,0.123417
PUT,.DS_Store,6149,45506853414541,45506856303666,45506856315708,2.90117,2.88912
GET,small.txt,42,45506856296375,45506856311625,45506856318916,0.022541,0.01525
GET,small_1.txt,810,45506856339125,45506856353541,45506856362375,0.02325,0.014416
GET,medium_2.txt,16200,45506866365541,45506866395875,45506866418875,0.053334,0.030334
PUT,.DS_Store,6149,45506869122791,45506872016708,45506872057500,2.93471,2.89392
PUT,large_2.txt,162000,45506872009083,45506936555041,45506936576583,64.5675,64.546
PUT,large_3.txt,405000,45506936541416,45507098474833,45507098533875,161.992,161.933
GET,small_3.txt,4050,45507098470708,45507098571125,45507098589791,0.119083,0.100417
GET,medium_1.txt,8100,45507098548708,45507098574125,45507098603375,0.054667,0.025417
PUT,large_2.txt,162000,45507098568000,45507163936708,45507163956208,65.3882,65.3687
PUT,medium_1.txt,8100,45507163915625,45507167171583,45507167178083,3.26246,3.25596
GET,medium_1.txt,8100,45507183734083,45507183756583,45507183776166,0.042083,0.0225
PUT,medium_3.txt,40500,45507167160125,45507183773750,45507183786625,16.6265,16.6136
PUT,small.txt,42,45507183748041,45507183782708,45507183786875,0.038834,0.034667
PUT,large_3.txt,405000,45507183780875,45507346447958,45507346488875,162.708,162.667
PUT,medium_3.txt,40500,45507346432333,45507362656083,45507362669791,16.2375,16.2237
PUT,medium_1.txt,8100,45507362640708,45507365936458,45507365981791,3.34108,3.29575
GET,large_2.txt,162000,45507365924166,45507366039166,45507366534750,0.610584,0.115
GET,large_1.txt,81000,45507366632791,45507366704541,45507367107416,0.474625,0.07175
GET,xlarge_1.txt,810000,45507366028041,45507366658541,45507385488208,19.4602,0.6305
PUT,large_2.txt,162000,45507376122500,45507450675875,45507450698375,74.5759,74.5534
PUT,.DS_Store,6149,45507450671500,45507453477833,45507453484958,2.81346,2.80633
PUT,small.txt,42,45507453471708,45507453506041,45507453510833,0.039125,0.034333
GET,small_1.txt,810,45507463602625,45507463668666,45507463678375,0.07575,0.066041
GET,large_3.txt,405000,45507466251125,45507466518541,45507467148208,0.897083,0.267416
PUT,small_3.txt,4050,45507466514750,45507468684500,45507468690625,2.17588,2.16975
GET,small_1.txt,810,45507476958708,45507476988208,45507476995750,0.037042,0.0295
GET,large_2.txt,162000,45507481355875,45507481487250,45507481723375,0.3675,0.131375
PUT,medium_1.txt,8100,45507483115791,45507487077666,45507487084625,3.96883,3.96188
PUT,medium_1.txt,8100,45507490276000,45507494280000,45507494287208,4.01121,4.004
PUT,small_3.txt,4050,45507499889833,45507501859416,45507501867041,1.97721,1.96958
PUT,.DS_Store,6149,45507507033000,45507509883500,45507509890583,2.85758,2.8505
PUT,small_3.txt,4050,45507514681750,45507516675041,45507516681250,1.9995,1.99329
GET,medium_2.txt,16200,45507522593041,45507522642458,45507522667000,0.073959,0.049417
GET,medium_2.txt,16200,45507529402250,45507529476250,45507529538458,0.136208,0.074
PUT,small.txt,42,45507575097708,45507575137750,45507575142625,0.044917,0.040042
PUT,.DS_Store,6149,45507587855333,45507590669333,45507590674416,2.81908,2.814
PUT,large_1.txt,81000,45507621630791,45507658759125,45507658774250,37.1435,37.1283
GET,medium_3.txt,40500,45507671534166,45507671628458,45507671679416,0.14525,0.094292
GET,small_3.txt,4050,45507780328375,45507780345375,45507780356125,0.02775,0.017
PUT,large_2.txt,162000,45507708536333,45507780350625,45507780369625,71.8333,71.8143
PUT,small_2.txt,1620,45507793259708,45507794065291,45507794072375,0.812667,0.805583
GET,medium_1.txt,8100,45508130358625,45508130377958,45508130399125,0.0405,0.019333
PUT,xlarge_1.txt,810000,45507798244958,45508130401875,45508130724458,332.479,332.157
GET,xlarge_1.txt,810000,45508130377625,45508131020416,45508141268916,10.8913,0.642791
GET,medium_2.txt,16200,45508143624833,45508143717375,45508143741375,0.116542,0.092542
GET,large_2.txt,162000,45508147439750,45508147595000,45508147840291,0.400541,0.15525
GET,small.txt,42,45508165709416,45508165770708,45508165778625,0.069209,0.061292
PUT,medium_3.txt,40500,45508178797333,45508197415875,45508197424541,18.6272,18.6185
