request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,.DS_Store,6149,45583829594208,45583830195083,45583830340791,0.746583,0.600875
PUT,small.txt,42,45583829974500,45583830639916,45583830684875,0.710375,0.665416
GET,medium_2.txt,16200,45583830109500,45583830745833,45583831788708,1.67921,0.636333
GET,large_1.txt,81000,45583829693416,45583830391541,45583834115791,4.42237,0.698125
PUT,small_3.txt,4050,45583830193500,45583843397208,45583843431333,13.2378,13.2037
GET,large_2.txt,162000,45583843412041,45583843774083,45583850849000,7.43696,0.362042
PUT,large_1.txt,81000,45583843772416,45583911047458,45583911063000,67.2906,67.275
PUT,xlarge_1.txt,810000,45583911045041,45584239767291,45584239850541,328.805,328.722
PUT,small.txt,42,45584239746166,45584239802750,45584239880083,0.133917,0.056584
PUT,small.txt,42,45584239778583,45584239809875,45584239885541,0.106958,0.031292
PUT,small_1.txt,810,45584239809666,45584240210000,45584240216291,0.406625,0.400334
GET,small_1.txt,810,45584240187125,45584240210583,45584240226791,0.039666,0.023458
PUT,small_2.txt,1620,45584240201125,45584240954416,45584240963000,0.761875,0.753291
GET,small_1.txt,810,45584240929500,45584240971416,45584240986333,0.056833,0.041916
PUT,large_3.txt,405000,45584240940791,45584402514083,45584402624416,161.684,161.573
GET,large_1.txt,81000,45584402635583,45584402735500,45584403938416,1.30283,0.099917
GET,large_2.txt,162000,45584402493125,45584402655666,45584404682958,2.18983,0.162541
GET,.DS_Store,6149,45584475451291,45584475473958,45584475486500,0.035209,0.022667
PUT,large_2.txt,162000,45584402713875,45584475473791,45584475504541,72.7907,72.7599
GET,.DS_Store,6149,45584475462708,45584475524958,45584475533291,0.070583,0.06225
PUT,medium_2.txt,16200,45584475473208,45584482765250,45584482774250,7.30104,7.29204
PUT,large_3.txt,405000,45584482742750,45584644433000,45584644471333,161.729,161.69
PUT,medium_1.txt,8100,45584644406375,45584647699583,45584647707083,3.30071,3.29321
GET,medium_1.txt,8100,45584647674958,45584647716583,45584647870500,0.195542,0.041625
PUT,large_1.txt,81000,45584647690000,45584680160958,45584680174791,32.4848,32.471
GET,medium_2.txt,16200,45584680136958,45584680179541,45584680450666,0.313708,0.042583
PUT,medium_1.txt,8100,45584680156000,45584683848333,45584683857791,3.70179,3.69233
GET,.DS_Store,6149,45584683824000,45584683848666,45584683863250,0.03925,0.024666
GET,small_3.txt,4050,45584683838833,45584683867625,45584683911458,0.072625,0.028792
PUT,medium_2.txt,16200,45584683857958,45584691227791,45584691235833,7.37788,7.36983
GET,medium_2.txt,16200,45584691236083,45584691258208,45584691447583,0.2115,0.022125
GET,medium_3.txt,40500,45584691201333,45584691251791,45584691833250,0.631917,0.050458
PUT,.DS_Store,6149,45584693039583,45584695898750,45584695904458,2.86488,2.85917
GET,.DS_Store,6149,45584703200541,45584703276416,45584703303625,0.103084,0.075875
GET,large_3.txt,405000,45584696588416,45584696905958,45584706633166,10.0448,0.317542
GET,large_3.txt,405000,45584700191375,45584700923000,45584708757416,8.56604,0.731625
GET,large_3.txt,405000,45584699225416,45584699616041,45584711171416,11.946,0.390625
PUT,medium_2.txt,16200,45584709949166,45584724075125,45584724098708,14.1495,14.126
PUT,small.txt,42,45584724061750,45584724107250,45584724119250,0.0575,0.0455
GET,large_1.txt,81000,45584724103000,45584724187250,45584729238208,5.13521,0.08425
PUT,small_1.txt,810,45584737010875,45584738234791,45584738250166,1.23929,1.22392
GET,medium_2.txt,16200,45584738387333,45584738448166,45584738917333,0.53,0.060833
GET,large_1.txt,81000,45584736843666,45584737105125,45584739407291,2.56363,0.261459
GET,.DS_Store,6149,45584750982708,45584751028916,45584751045166,0.062458,0.046208
PUT,small_3.txt,4050,45584800908291,45584806614708,45584806646958,5.73867,5.70642
PUT,small.txt,42,45584809048708,45584809179083,45584809193083,0.144375,0.130375
PUT,large_2.txt,162000,45584819578250,45584923034333,45584923088250,103.51,103.456
PUT,small_3.txt,4050,45584923018291,45584926210333,45584926226791,3.2085,3.19204
GET,large_2.txt,162000,45584926203375,45584926504375,45584930392125,4.18875,0.301
PUT,small_3.txt,4050,45584936072750,45584941437750,45584941452000,5.37925,5.365
GET,small_2.txt,1620,45584941393000,45584941459875,45584941530208,0.137208,0.066875
PUT,small_3.txt,4050,45584954551958,45584959695083,45584959713500,5.16154,5.14313
PUT,small_3.txt,4050,45584964108916,45584968869083,45584968881291,4.77238,4.76017
GET,small.txt,42,45584972469250,45584972502333,45584972542625,0.073375,0.033083
PUT,medium_1.txt,8100,45584981865750,45584991620583,45584991661750,9.796,9.75483
GET,small_2.txt,1620,45584991635583,45584991721625,45584992040833,0.40525,0.086042
PUT,medium_2.txt,16200,45585005010541,45585019942791,45585020029375,15.0188,14.9322
PUT,small_1.txt,810,45585019936708,45585020355875,45585020362125,0.425417,0.419167
PUT,large_2.txt,162000,45585034515875,45585131860583,45585131912833,97.397,97.3447
PUT,large_3.txt,405000,45585131854000,45585341014708,45585341146708,209.293,209.161
PUT,medium_1.txt,8100,45585341002958,45585344786791,45585344810041,3.80708,3.78383
PUT,.DS_Store,6149,45585344778125,45585347635291,45585347652833,2.87471,2.85717
PUT,large_1.txt,81000,45585347623791,45585386252166,45585386286208,38.6624,38.6284
PUT,medium_1.txt,8100,45585386244208,45585390422791,45585390442166,4.19796,4.17858
PUT,medium_1.txt,8100,45585390413083,45585394287083,45585394303750,3.89067,3.874
PUT,large_3.txt,405000,45585394281291,45585557780958,45585557825583,163.544,163.5
PUT,large_3.txt,405000,45585557756375,45585718220625,45585718253375,160.497,160.464
PUT,.DS_Store,6149,45585718204833,45585720685625,45585720693333,2.4885,2.48079
GET,small_2.txt,1620,45585720670833,45585720701375,45585720718500,0.047667,0.030542
GET,medium_2.txt,16200,45585721325583,45585721377750,45585722301958,0.976375,0.052167
GET,large_1.txt,81000,45585720683541,45585720763625,45585722438541,1.755,0.080084
PUT,small_3.txt,4050,45585721365833,45585724622041,45585724643791,3.27796,3.25621
PUT,small_2.txt,1620,45585724616750,45585725745458,45585725752250,1.1355,1.12871
PUT,small_2.txt,1620,45585733536666,45585739473916,45585739516500,5.97983,5.93725
PUT,small_2.txt,1620,45585739451125,45585741412500,45585741452916,2.00179,1.96138
GET,small.txt,42,45585741410333,45585741459500,45585741490416,0.080083,0.049167
GET,xlarge_1.txt,810000,45585720745083,45585721376500,45585744320250,23.5752,0.631417
GET,xlarge_1.txt,810000,45585731088083,45585731672166,45585777242166,46.1541,0.584083
PUT,xlarge_1.txt,810000,45585741440791,45586120379291,45586120466625,379.026,378.938
PUT,large_3.txt,405000,45586120375250,45586293892750,45586293936125,173.561,173.518
PUT,medium_2.txt,16200,45586293866083,45586300438000,45586300446125,6.58004,6.57192
PUT,.DS_Store,6149,45586300413666,45586302914041,45586302920875,2.50721,2.50038
PUT,large_2.txt,162000,45586302888916,45586368154958,45586368356541,65.4676,65.266
GET,xlarge_1.txt,810000,45586368655208,45586369218958,45586391542125,22.8869,0.56375
GET,xlarge_1.txt,810000,45586368130125,45586368676125,45586532948916,164.819,0.546
PUT,large_3.txt,405000,45586369215750,45586564795625,45586564844916,195.629,195.58
GET,xlarge_1.txt,810000,45586564790500,45586565397250,45586589728791,24.9383,0.60675
PUT,large_2.txt,162000,45586565396458,45586646993333,45586647069541,81.6731,81.5969
GET,small_3.txt,4050,45586646982833,45586647014416,45586647264083,0.28125,0.031583
GET,small_2.txt,1620,45586646967500,45586647003000,45586647131333,0.163833,0.0355
PUT,large_2.txt,162000,45586646998500,45586723227375,45586723315625,76.3171,76.2289
PUT,small_1.txt,810,45586723204916,45586723620583,45586723638958,0.434042,0.415667
PUT,medium_3.txt,40500,45586723607583,45586742344000,45586742579041,18.9715,18.7364
GET,small_3.txt,4050,45586742980500,45586743006750,45586743172583,0.192083,0.02625
GET,large_1.txt,81000,45586742998750,45586743190000,45586746248333,3.24958,0.19125
PUT,medium_3.txt,40500,45586743057833,45586776750708,45586776772375,33.7145,33.6929
GET,.DS_Store,6149,45586776746875,45586776785958,45586776889250,0.142375,0.039083
PUT,small_2.txt,1620,45586776786875,45586778735166,45586778746791,1.95992,1.94829
GET,large_1.txt,81000,45586789460000,45586789641583,45586791741208,2.28121,0.181583
GET,xlarge_1.txt,810000,45586742334500,45586742999708,45586830934875,88.6004,0.665208
PUT,large_3.txt,405000,45586796928583,45587081947000,45587082099291,285.171,285.018
PUT,.DS_Store,6149,45587081939833,45587085050791,45587085057708,3.11788,3.11096
GET,medium_2.txt,16200,45587094625375,45587094712791,45587095104500,0.479125,0.087416
PUT,small_2.txt,1620,45587097990416,45587099951833,45587099964375,1.97396,1.96142
GET,medium_1.txt,8100,45587102765500,45587102825625,45587103165916,0.400416,0.060125
GET,small_1.txt,810,45587112721250,45587112769583,45587112914250,0.193,0.048333
GET,medium_3.txt,40500,45587130560791,45587130673708,45587131882500,1.32171,0.112917
PUT,xlarge_1.txt,810000,45587171427750,45587609810208,45587609971375,438.544,438.382
GET,small.txt,42,45587609809875,45587609997416,45587610037958,0.228083,0.187541
GET,small.txt,42,45587610004125,45587610050791,45587610076750,0.072625,0.046666
PUT,medium_2.txt,16200,45587610086791,45587618084833,45587618106625,8.01983,7.99804
PUT,medium_2.txt,16200,45587618086666,45587625413958,45587625423208,7.33654,7.32729
GET,small_2.txt,1620,45587625408333,45587625438333,45587625458625,0.050292,0.03
GET,.DS_Store,6149,45587625438291,45587625460958,45587625489791,0.0515,0.022667
GET,small_1.txt,810,45587625426291,45587625455166,45587625517958,0.091667,0.028875
PUT,small_3.txt,4050,45587625451208,45587627457083,45587627463208,2.012,2.00588
PUT,medium_2.txt,16200,45587630891583,45587638503041,45587638510166,7.61858,7.61146
PUT,small.txt,42,45587638504625,45587638568625,45587638574375,0.06975,0.064
PUT,small.txt,42,45587638539083,45587638582041,45587638586375,0.047292,0.042958
GET,medium_1.txt,8100,45587641103208,45587641132250,45587641247208,0.144,0.029042
PUT,large_3.txt,405000,45587643940708,45587822935291,45587822978750,179.038,178.995
PUT,small_3.txt,4050,45587822914875,45587824599083,45587824610000,1.69512,1.68421
GET,medium_2.txt,16200,45587824576041,45587824618333,45587824884166,0.308125,0.042292
PUT,small_1.txt,810,45587825192625,45587825648375,45587825787583,0.594958,0.45575
GET,large_1.txt,81000,45587825904625,45587826082916,45587829797458,3.89283,0.178291
PUT,.DS_Store,6149,45587825964333,45587834682708,45587834690958,8.72663,8.71837
GET,large_3.txt,405000,45587825627000,45587825910791,45587840597416,14.9704,0.283791
PUT,medium_2.txt,16200,45587836103166,45587851076458,45587851098333,14.9952,14.9733
GET,xlarge_1.txt,810000,45587824594666,45587825217583,45587872508666,47.914,0.622917
PUT,large_3.txt,405000,45587851061833,45588040249333,45588040293250,189.231,189.188
PUT,small.txt,42,45588040245375,45588040304625,45588040357833,0.112458,0.05925
PUT,small_2.txt,1620,45588040280416,45588041067666,45588041076875,0.796459,0.78725
GET,medium_1.txt,8100,45588041061500,45588041087375,45588041252583,0.191083,0.025875
